数智北京创新中心公开页面与结构化数据抓取汇总,,
,,
站点,数智北京创新中心,
站点地址,https://dibj.cn/,
页面抓取时间,2026-09-02T14:26:36.744914+00:00,
结构化接口抓取时间,2026-09-02T14:25:51.360643+00:00,
公开页面记录数,436,
结构化数据记录数,15797,
,,
统计类型,类别,数量
页面,新闻资讯,261
页面,走进创新中心,70
页面,创新服务-资源提供与申请,18
页面,创新服务-数据创新,17
页面,生态合作,14
页面,创新服务-场景培育,12
页面,数字资源,10
页面,政策解读,9
页面,创新成果-应用市场,6
页面,创新服务-成果与搜索,4
页面,系统/登录,3
页面,关于我们,3
页面,其他,3
页面,创新服务-其他,2
页面,创新服务-共性服务,2
页面,首页,1
页面,创新服务-技术创新能力,1
结构化接口,数字资源-联合实验室数据,678
结构化接口,数字资源-高质量数据集,364
结构化接口,数字资源-社会侧数据,2794
结构化接口,创新成果-应用创新成果,29
结构化接口,创新服务-云网算资源,26
结构化接口,创新服务-组件资源,180
结构化接口,创新成果-数据创新成果,606
结构化接口,创新服务-共性服务,8
结构化接口,创新服务-入驻项目,165
结构化接口,创新服务-技术创新能力,97
结构化接口,创新服务-场景需求,191
结构化接口,数字资源-政府侧数据,10659
,,
说明：页面总表来自公开 sitemap.xml 与页面内可发现的公开链接；结构化数据来自站点公开分页接口。登录后、需要身份认证或受限的功能未绕过访问控制。页面状态为 404 的历史链接保留在“失效页面”表中。,,
