序号,接口表名,数据类别,id,biz_unique_id,catalog_id,catalog_name,component_name,provider,component_desc,component_version,process_type,create_time,update_time,data_time,del_status,valid_status,visit_count,favorited,deploy_url,来源接口
1,COMPONENT_RESOURCE,创新服务-组件资源,177,1518,"2,600,604,","数据开发与服务,",应用管理组件,清雁科技（北京）有限公司,"应用管理组件将数据分析与计算能力封装为可分发应用，运行于隔离沙箱并与数据权限精细绑定，实现""数据不动、价值流动""。",2.0.0,2,2026-08-09 02:01:13,2026-09-02 17:55:58,2026-08-07 14:38:18,0,0,17,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
2,COMPONENT_RESOURCE,创新服务-组件资源,178,1517,"2,600,604,","数据开发与服务,",交付管理组件,清雁科技（北京）有限公司,"交付管理组件是""可信交付执行器""，支持沙箱、应用、直接三种交付模式，确保原始数据在零信任沙箱内按合约使用、不落地不外传。",2.0.0,2,2026-08-09 02:01:13,2026-09-02 09:25:48,2026-08-07 14:37:58,0,0,6,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
3,COMPONENT_RESOURCE,创新服务-组件资源,179,1516,"2,600,604,","数据开发与服务,",数据产品市场组件,清雁科技（北京）有限公司,"数据产品市场组件是面向流通的""交易前台""，提供产品检索、组合筛选与在线签约能力，签约即触发""合约—协商—交付""的可信闭环。",2.0.0,2,2026-08-09 02:01:13,2026-08-24 23:09:28,2026-08-07 14:37:36,0,0,6,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
4,COMPONENT_RESOURCE,创新服务-组件资源,180,1515,"2,900,902,","网络安全,",三六零云探安全监测系统,三六零数字安全科技集团有限公司,360云探是一款面向党政军、金融、教育和互联网用户的网站应用安全监测服务产品，依赖于360安全大脑，以及360在搜索、终端安全、网站安全等方面积累的数亿用户群和海量数据，可有效监测网站的异常，持续挖掘网站风险，充分预警各类网站安全事件，为用户提供网站漏洞扫描、网页篡改监测、网页挂马监测、黑词/暗链监测、可用性监测、仿冒/钓鱼网站监测、未知资产监测等安全云监测服务。,2.0.0,2,2026-08-09 02:01:13,2026-09-02 20:01:50,2026-08-07 14:37:11,0,0,3,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
5,COMPONENT_RESOURCE,创新服务-组件资源,172,1514,"2,1200,1203,","办公协同,",元粟集团化管控系统,北京利物融通信息技术有限公司,元粟集团化管控系统实现全级次穿透式监管，将各类投资纳入统一战略框架。通过刚性规则嵌入与AI实时预警，实现指令无损传导与风险前置识别。构建统一数据中台与决策驾驶舱，支撑跨组织资源优化与科学战略决策。,6.0.0,2,2026-08-02 02:01:14,2026-09-02 20:01:55,2026-07-31 14:49:54,0,0,5,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
6,COMPONENT_RESOURCE,创新服务-组件资源,173,1513,"2,1200,1203,","办公协同,",元粟产业基金管理系统,北京利物融通信息技术有限公司,元粟产业基金管理系统打通资本与产业壁垒，建立产业链资源库与协同台账，量化战略价值。支持多元资产统一台账与风控，消除数据孤岛，实现全域资产“一张图”管控，适配多层级集团架构，保障统筹与灵活并重。,6.0.0,2,2026-08-02 02:01:14,2026-09-02 03:52:59,2026-07-31 14:49:30,0,0,3,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
7,COMPONENT_RESOURCE,创新服务-组件资源,174,1512,"2,600,604,","数据开发与服务,",需求管理组件,清雁科技（北京）有限公司,需求管理组件打通供需两端，支持需求发布、全业务节点检索与结构化匹配，让数据需求方快速发现并对接合适的提供方，显著缩短缔约链路。,2.0.0,2,2026-08-02 02:01:16,2026-08-22 13:55:46,2026-07-31 14:49:05,0,0,11,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
8,COMPONENT_RESOURCE,创新服务-组件资源,175,1511,"2,600,604,","数据开发与服务,",数据目录组件,清雁科技（北京）有限公司,"数据目录组件是连接器的""数据资产入口""，负责本地多源异构数据的挂载、组织与登记，并通过分类分级标签实现规范化治理，是数据从""自有""走向""可信流通""的第一步。",2.0.0,2,2026-08-02 02:01:16,2026-09-02 16:20:55,2026-07-31 14:48:39,0,0,15,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
9,COMPONENT_RESOURCE,创新服务-组件资源,176,1510,"2,600,604,","数据开发与服务,",合约管理组件,清雁科技（北京）有限公司,"合约管理组件是数据流通的""契约中枢""，承载合约的查看、协商、终止与备案，并以可配置策略硬性约束数据的交付与使用边界。",2.0.0,2,2026-08-02 02:01:16,2026-09-02 16:57:38,2026-07-31 14:48:20,0,0,3,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
10,COMPONENT_RESOURCE,创新服务-组件资源,167,1509,"2,1200,1203,","办公协同,",元粟股权投资管理系统,北京利物融通信息技术有限公司,元粟股权投资管理系统聚焦“募投管退”全生命周期标准化，以项目和基金为核心，实现流程线上化与数据资产化。系统内置AI与合规引擎，支持尽调底稿自动生成、协议风险识别及中基协备案直连，确保业务高效合规运行。,6.0.0,2,2026-07-25 02:01:12,2026-09-02 02:46:12,2026-07-23 17:57:43,0,0,7,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
11,COMPONENT_RESOURCE,创新服务-组件资源,168,1508,"2,1200,1203,","办公协同,",元粟引导基金管理系统,北京利物融通信息技术有限公司,元粟引导基金管理系统专为政府出资设计，内置政策规则引擎，将产业目录、返投比例等转化为系统逻辑。通过自动筛查准入、监控资金流向及量化产业引导目标，实现财政合规与主动治理，支持长周期存续与投早投小专项考核。,6.0.0,2,2026-07-25 02:01:12,2026-09-01 16:23:09,2026-07-23 17:57:22,0,0,2,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
