序号,接口表名,数据类别,id,biz_unique_id,app_group_id,app_group_name,top_group_code,achievement_code,achievement_provider,achievement_desc,achievement_type,apply_industry,served_scene,online_time,create_time,update_time,del_status,favorited,来源接口
1,APP_INNOVATION,创新成果-应用创新成果,1,42,15,社会治安防控,APPLICATION,数据安全一体化平台,云创数安,"轻量级、免改造，助力企业实现基于数据分类分级的全生命周期安全管理
核心能力包括：数据资产地图与可视化管理、数据分类分级策略管理、数据分类分级、动静态脱敏、加密存储、文件水印、权限管理、访问控制等",社会治安防控,S,无,2025-07-02 18:41:54,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
2,APP_INNOVATION,创新成果-应用创新成果,2,41,24,企业政务服务,APPLICATION,YonLinker连接集成平台,用友,连接集成平台YonLinker基于混合云集成场景提供API网关、YSB服务总线、混合云网关等集成中间件，同时基于项目沉淀及ISV生态联合打造了集成服务资产，有效复用集成成果降低集成风险与IT成本。,企业政务服务,S,无,2025-07-02 18:40:24,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
3,APP_INNOVATION,创新成果-应用创新成果,3,40,24,企业政务服务,APPLICATION,YonBuilder开发平台,用友,iuap-YonBuilder是一个强大而灵活的构建器平台，包括零代码开发、低代码开发、原生代码开发，其中零代码/低代码开发通过直观的拖拽界面和模型驱动逻辑来构建应用，有效降低技术门槛，使得业务人员可以直接参与系统实现。,企业政务服务,S,无,2025-07-02 18:40:05,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
4,APP_INNOVATION,创新成果-应用创新成果,4,39,24,企业政务服务,APPLICATION,YonData数据平台,用友,iuap-yonData数据平台致力于为企业提供一个集数据整合、处理、治理和可视化于一体的平台。以支持HTAP场景、向量化、库内批流一体的企业级超融合数据库为高性能引擎，支持企业数据从采集到治理再到分析可视化的端到端生命周期管理。,企业政务服务,S,无,2025-07-02 18:39:45,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
5,APP_INNOVATION,创新成果-应用创新成果,5,38,24,企业政务服务,APPLICATION,YonAP应用平台,用友,iuap-YonAP应用平台将企业通用服务功能进行抽象和封装，形成了一系列可复用、可扩展、可运营的服务能力，涵盖 了租户管理、用户管理、组织权限、流程引擎、报表服务、特征体系、多维组织树等关键服务组件。,企业政务服务,S,无,2025-07-02 18:39:17,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
6,APP_INNOVATION,创新成果-应用创新成果,6,37,24,企业政务服务,APPLICATION,YonAI智能平台,用友,iuap-YonAI智能平台以YonGPT企业服务大模型为核心整合了机器学习、大模型、数字人、自动化等企业级智能技术，帮助企业实现智能化管理和运营，提高效率和竞争力。,企业政务服务,S,无,2025-07-02 18:38:50,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
7,APP_INNOVATION,创新成果-应用创新成果,7,36,23,个人政务服务,APPLICATION,大模型质检平台,和君纵达,可以帮助政务、医疗、政务热线、医院热线等政府热线机构进行质检评分，提升群众反馈满意度,个人政务服务,S,无,2025-07-02 18:37:50,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
8,APP_INNOVATION,创新成果-应用创新成果,8,35,10,投资营商管理,APPLICATION,数字招商,德生科技,基于企业大数据资源及技术 ，以产业链分析为基础 ，围绕招商业务痛点，提供招商业务服务 ，协助决策等功能。如：产业全景、产业现状图、产业链补链图、多模式精准招商推荐，招商触达等。,投资营商管理,S,无,2025-07-02 18:36:08,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
9,APP_INNOVATION,创新成果-应用创新成果,9,34,23,个人政务服务,APPLICATION,江城洛神,紫东太初,“江城洛神”AI内容创作辅助平台是基于多模态大模型“紫东太初”打造，可通过大模型生成式能力进行辅助创作，降低创作成本。,个人政务服务,S,无,2025-07-02 18:34:55,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
10,APP_INNOVATION,创新成果-应用创新成果,10,33,23,个人政务服务,APPLICATION,紫东太初数字人测评平台,紫东太初,一站式智能测评系统，结合大语言模型与消息队列，实现多维度、自动化、可扩展的数字人能力测评，包括对话能力、音效质量、人像自然度等模块，支持异步并发任务的动态编排。,个人政务服务,S,无,2025-07-02 18:34:27,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
