序号,接口表名,数据类别,id,biz_unique_id,ability_org_id,ability_org_name,project_name,project_target,expected_result,create_time,update_time,data_time,del_status,favorited,来源接口
1,SETTLED_PROJECT,创新服务-入驻项目,167,452,176,蚂蚁密算公司,公共数据要素促进精准就业项目,1）精准就业项目 通过密态计算技术，连接「公共数据、企业数据、互联网流量」，实现“数据不动，价值流动”。通过多方数据融合分析与数据模型建立，实现待业者技能、求职意愿与岗位需求的高效匹配。结合“京通”、支付宝等平台的信息触达能力，提升就业信息精准推送效果，确保待业者及时获取符合求职意愿的岗位信息，降低“能力错位”“信息错位”“触达错位”现象的发生频率，促进高质量充分就业。目前，该项目已有成熟的 C 端互联网应用运行，未来只需对接公共数据服务，即可通过“数据 + 流量”的形式，发挥数据要素价值。,当前就业服务仍面临现实痛点。求职招聘虽已大量线上化，但数字化水平仍有待提升，且存在求职者与用人单位之间信任不足的问题，导致整个流程中出现以下问题：一是求职者与岗位信息不对称，资质核验难、岗位筛选成本高、效率低；二是劳动力供需存在结构性错配，求职者的技能、资质信息分散在多个部门，缺乏统一、可信的核验与匹配渠道；三是高校毕业生、残疾人等重点群体就业帮扶需要更加精准的数字化手段；四是用工单位面临信息核验难、用工风险防控难等现实问题。 通过对公共数据和招聘企业数据进行融合计算，并依托互联网就业服务平台的流量和 AI 应用能力，可以实现就业服务水平升级：基于多维融合计算结果，对求职者和招聘岗位进行智能匹配，构建覆盖求职、核验、匹配、入职、规划、提升全流程的数字化就业服务产品。这是破解上述痛点、提升公共就业服务质量、促进就业公平的有效路径。 通过数据精准匹配降低招聘与求职双端成本，提升劳动力市场效率，间接带动消费与税收增长.打通数据壁垒，促进人岗精准匹配，帮助待业者更快就业，助力实现高质量充分就业。,2026-09-01 15:41:15,2026-09-02 02:01:00,2026-09-01 15:51:12,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
2,SETTLED_PROJECT,创新服务-入驻项目,168,451,668,上海水滴征信服务有限公司,零售和普惠金融信贷模型及证券期货业个人和企业风控模型项目,应用领域：零售信贷与普惠金融、证券期货业风险防控。服务对象：商业银行零售及普惠金融条线、证券期货经营机构（证券公司、期货公司及其分支机构）。 服务内容：（1）基于公共数据构建零售和普惠金融信贷模型，涵盖申请评分卡、行为评分、额度与定价策略，将社保、公积金、纳税等替代数据转化为信贷可得性评估依据；（2）构建证券期货业个人和企业风控模型，覆盖开户失信校验、身份核验、适当性评估、关联方及受益所有人识别、反欺诈等环节；（3）以API实时接口与批量评分方式向机构输出模型结果。,形成信贷模型、风控模型两大类共10余个模型产品及配套API服务，支撑机构信贷审批、额度核定与开户准入全流程风控。1.零售和普惠金融信贷模型产品：以个人社保缴费、公积金缴存、纳税信息等公共数据为核心特征源，结合机构自有行为数据，设计申请评分模型、行为评分模型及贷中预警策略集，输出信用分（0-1000分）及风险等级。 2.证券期货业个人风控模型产品：面向开户及适当性管理环节，设计开户失信校验服务（失信被执行人名单、限制消费名单实时核验）、个人身份核验服务（实名二要素/三要素/四要素）、个人司法涉诉风险评估模型。 3.企业风控模型产品：基于企业工商登记、纳税、社保缴纳、行政处罚等数据，设计企业信用评分模型、企业风险画像（经营异常、欠税欠费、涉诉失信）及关联方图谱识别服务。 产品形态：以标准化API接口（Restful规范，支持HTTPS加密及专线接入）提供实时查询与核验服务，并支持批量文件方式开展存量客户重检与模型回溯。,2026-09-01 14:52:45,2026-09-02 02:01:00,2026-09-01 15:50:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
3,SETTLED_PROJECT,创新服务-入驻项目,165,449,676,智融数科（北京）科技有限公司,智融风险联运识别用户还款能力项目,本项目聚焦银行消费金融下沉业务的风控痛点，针对年轻群体、灵活就业者等长尾客群无抵押资产、传统信贷数据缺失、风险评估难度大的核心问题，搭建基于社保、公积金高价值替代数据的智能化风控评估体系。项目旨在深度挖掘社保、公积金数据蕴含的就业稳定性、收入持续性核心信息，补齐长尾客群风险画像的数据短板，破解传统风控模型对无资产、无信贷记录客群的评估盲区。通过优化风险评估逻辑、完善差异化授信研判标准，精准甄别客户真实还款能力与履约意愿，在严控信贷风险、降低不良率的基础上，提升长尾客群授信审批的精准度与效率。同时拓宽消费金融客群服务边界，打破传统资产、信贷资质的服务壁垒，实现普惠金融落地，助力银行消费金融业务规模化、高质量下沉发展。,本项目落地后，将形成一套适配消费金融下沉场景的替代数据风控应用体系，有效解决无资产、无传统信贷记录长尾客群风险识别难的问题。通过深度整合社保、公积金数据，完成就业稳定性、收入可持续性等核心风险因子的标准化应用，补齐传统风控体系的数据短板，完善长尾客群专属风险画像与评估规则。项目将实现风控模型精准度显著提升，有效降低下沉客群信贷误判率与整体不良风险，优化授信审批流程，提升普惠客群审批效率与服务体验。同时，打破传统资产抵押、信贷记录的资质限制，拓宽银行消费金融可服务客群范围，构建差异化普惠风控能力。最终实现风险可控前提下的业务增量，助力银行消费金融业务稳健下沉，形成可复用、可推广的下沉客群风控解决方案。,2026-08-28 17:09:31,2026-09-01 02:01:00,2026-08-31 09:40:37,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
4,SETTLED_PROJECT,创新服务-入驻项目,166,447,556,数融智链（北京）信息科技有限公司,基于企业公共数据的产业经营大脑数据赋能服务,项目核心建设内容为基于北京公共数据资源，合规开展数据汇聚、脱敏治理、融合分析、智能建模，搭建一站式、智能化的产业经营大脑服务平台。项目围绕北京产业经济监测、企业经营画像、行业风险预警、政策精准推送、产业资源匹配、园区经济研判六大核心方向开展建设，通过数据赋能实现产业运行状态实时监测、企业经营风险动态识别、产业发展趋势精准预判。项目预期产出智能化平台系统、月度/季度产业分析报告、行业风险预警清单、企业精准服务台账，全面提升北京产业治理数字化、精细化、智能化水平。,本项目核心产品为产业经营大脑智能化服务平台，产品形态为服务平台+定制化数据分析报告+智能预警服务，适配政务端、企业端双端口使用。产品整体分为三层架构：一是数据治理层，实现工商、产业分类、园区归属等多类公共数据的合规汇聚、清洗、脱敏、标准化、结构化处理，建立统一的北京产业数据资源底座；二是智能算法层，自研产业景气度研判模型、企业用工经营模型、行业风险预警模型、政策匹配智能模型，实现数据智能化分析运算；三是场景应用层，搭建产业态势洞察、企业画像查询、风险智能预警、政策精准匹配、数据统计分析、定制报表导出六大功能模块。产品完全贴合北京产业发展特色，适配政务监管决策、园区运营管理、企业经营赋能等多元应用场景，支持持续迭代优化。,2026-08-28 15:14:19,2026-09-01 02:01:00,2026-08-31 09:39:53,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
5,SETTLED_PROJECT,创新服务-入驻项目,164,446,657,北京笑出信息科技有限公司,远航智搜（voyageG）企业AI搜索数据产品,本项目计划用3年时间，在实现应收过亿的基础上，推动技术发展，拉升就业。 预期成果 项目投入后，预计申请专利3-4项，企业申请高新技术企业认证、ISO认证等，推动建立行业性标准。 预期经济效益 项目首年应收300万；次年达到3000万；第三年冲亿。 预期社会效益 计划三年新增就业200个，并开启助残行动，支持环保事业 风险及应对 目前正在进行天使投资的提案中；已与百度、腾讯等大型互联网企业达成合作意向；同时与业内头部企业进行授权合作；并与通智研究院、北大、浙大等院校展开技术合作。从投资、业务、技术、行业扶持等几个维度做到应对风险。,voyageG项目成果总结 本项目计划经过三年实施，达成以下成果 一、技术成果 将voyageG项目全套GEO系统进行知识产权申请；并联合推动行业标准的设立；打造一套结合AI并可落地的帮助企业和个人进行推广的智能工具。 二、经济成果 力争3年达成营收过亿，净利润过千万的经营目标；增加税务收入。 三、社会成果 三年逐步达成新增就业岗位200个。 四、管理成果 公司通过ISO体系认证，利用数值化管理平台实现AI体系下的管理模式，提升人效。 五、成果亮点 在小红书、微信生态的GEO中独树一帜，为行业首家，正在申请相关奖项。,2026-08-22 14:17:03,2026-08-25 02:01:00,2026-08-24 15:42:18,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
6,SETTLED_PROJECT,创新服务-入驻项目,163,445,633,施恩乐（北京）科技有限公司,北京市美容美发化妆品行业数据与分析报告服务,本项目创新应用场景聚焦北京市美容美发化妆品行业常态化数据监测。当前北京美业业态繁杂、市场主体众多，但行业经营、监管投诉、人流消费等各类信息分散割裂，缺少店家级月度连续监测手段；传统调研模式周期长、样本覆盖面有限，行业风险预警、政府辅助决策、企业经营研判均缺少完整量化的数据底座。本项目计划构建按月迭代的行业监测体系，依托多源数据整合与建模分析的创新模式，以解决行业数据碎片化、缺少高频动态监测、细分业态无法独立评估、风险预警缺少量化依据、传统调研成本高且效果有限等现实痛点。,项目建成后，将形成北京市美容美发化妆品行业按月度更新的完整监测体系，可为行业主管部门提供量化的数据支撑，助力监管模式由事后处置向事前风险预警转变，辅助行业政策、产业规划的科学制定，推动美业市场规范化建设。能够及时识别预付卡纠纷、门店集中关停、区域恶性价格竞争等潜在风险，提前开展风险提示，减少消费维权事件，切实保护广大消费者合法权益。实现生活美容、医疗美容、化妆品零售细分业态独立监测研判，补齐行业细分维度的数据空白。,2026-08-21 13:55:35,2026-08-22 02:01:00,2026-08-21 15:00:14,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
7,SETTLED_PROJECT,创新服务-入驻项目,160,443,667,天孚（北京）科技有限公司,AI数字分身应用中心,总体目标：构建一套可复用的多智能体协作与认知计算底层框架，让企业能够把专业任务（检索、分析、审查、内容生产等）自动化地分派给专项智能体并行执行，并整合成高质量成果。 拆解为几个子目标： 框架能力建设 — 实现多智能体并行协作、技能编排、任务调度、结果整合等底层能力。 接入与集成 — 打通工具调用、知识库对接和权威外部数据源（法律、企业、金融等），为认知推理提供可靠依据。 专业化与稳定性 — 让专项智能体覆盖合同审查、尽调、法律检索、金融数据、报告生成等场景，并保证框架稳定、可扩展。 价值交付 — 通过任务自动化替代/辅助人工专业处理，降低人力与时间成本，提升产出质量与效率，并最终落地应用、产生社会与经济效益。,核心成果： 可运行的底层框架 — 一套模块化、可扩展的多智能体协作平台，支持任务委派、并行调度、技能编排与结果整合，稳定可复用。 专项智能体服务矩阵 — 覆盖合同审查、尽调审核、法律检索、企业查询、金融数据、行业研究、报告生成、格式转换等专业场景。 接入与集成能力 — 完成知识库对接及权威数据源（法律、企业、金融）接入，形成经交叉验证的可靠信息链路。 基础设施文档与接口 — 框架技术文档、能力接口、运维方案，支撑后续扩展与二次开发。 应用成果 1. 效率与质量提升 — 通过任务自动化和多智能体并行，降低专业处理的人力与时间成本，提高产出质量和一致性。 2. 落地应用案例 — 在真实业务中投入应用，形成可复制的智能化落地范例。 效益成果 1. 经济效益 — 降本增效带来的直接经济回报。 2. 社会效益 — 推动多智能体与认知技术行业落地，促进数据要素价值释放。,2026-08-20 11:35:04,2026-08-21 02:01:00,2026-08-20 16:18:59,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
8,SETTLED_PROJECT,创新服务-入驻项目,157,442,663,北京中泊百惠科技有限公司,象宝AI原生智慧运维平台,项目目标 总体目标 以 AI 将分散的楼宇告警转化为「可治理、可执行、可度量」的运维闭环，降低关键风险遗漏率，提升处置效率，并把处置经验沉淀为组织知识，实现「AI 给依据、人做决策、过程可追溯」。 具体目标（按维度拆解） 目标维度 目标描述 量化指标（试点预期） 接入目标 打通客户关键子系统（消防、BA/暖通、强电、安防、能耗、工单），统一为标准事件模型 告警渗透率 ≥ 99% 降噪目标 重复合并、误报识别、计划内事件识别、风暴抑制，大幅压缩无效告警 过滤 / 降噪率 ≥ 95% 研判与处置 建立「监控—寻因—派单」三 Agent 研判链与处置闭环 关键风险响应 ≤ 3 分钟；闭环率 ≥ 98% 知识沉淀 处置结果回写知识库，形成可复盘、可度量的持续学习能力 知识条目随项目持续累积 安全可控 满足政企合规：人工确认、审计留痕、模型可降级、私有化部署 审计覆盖 100% 关键写动作,三、预期成果 3.1 业务能力成果 象宝沿「接入—感知—研判—派发—回放—运营」六段闭环组织能力，落地后将带来以下可直接感知的改变： 告警进得来：不同厂商、协议、字段形态的告警统一为标准业务对象，无法识别的事件进入异常池等待修复，不静默丢弃。 AI 看得懂：结合空间、设备、历史案例、知识与图谱关系给出有依据的建议，而非一段孤立文字。 任务派得准：依据等级、责任关系、排班、SLA 与升级策略形成明确责任链，超时自动升级。 现场处置跑得通：桌面 + 移动端支持派单、接单、现场说明、附件、验收关闭，写动作有持久状态与审计。 全过程可追溯：告警、处置单、AI 运行、通知、知识引用均有时间线与审计链路，可下钻到真实对象。 系统持续学习：处置经验沉淀为知识，知识缺口触发补充任务，发布知识被后续 AI 运行引用。 3.2 量化指标成果（基于试点演示环境） 以下指标在演示大厦试点（合成数据环境）已验证，可作为正式项目的目标基线。注：试点数据为演示模拟，正式环境指标须以真实客户告警量、并发与容量评估为准。 指标项 试点预期值 说明 监测点位接入 5000+ 覆盖消防、BA/暖通、强电、安防、能耗等关键设备 日均告警处理 10000+ 条 多源告警统一接入与标准化 告警过滤 / 降噪率 95%+ 有效告警从海量噪声中筛出 关键风险响应时间 ≤ 3 分钟 一级告警自动触发通知与派单 处置闭环率 98% 从通知、执行到验证关闭全流程闭环 告警渗透率 99.9% 既有系统告警基本全部纳入平台  3.3 交付物成果 私有化部署的象宝平台（含桌面端与移动端） 各子系统接入连接器、字段映射与标准事件目录 AI 研判规则、Prompt 配置与知识库（含图谱关系） 六类角色工作台与运营驾驶舱（可下钻的管理指标） 实施文档、验收清单与客户运维团队培训,2026-08-18 16:30:00,2026-08-19 02:01:00,2026-08-18 17:24:49,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
9,SETTLED_PROJECT,创新服务-入驻项目,159,441,625,国研大数据研究院有限公司,“企信通”企业服务系列产品研发项目,一是缓解中小企业融资难融资贵问题，提升中小企业贷款可得性和首贷率，优化北京市营商环境；二是助力政府部门精准掌握企业经营和风险状况，提升经济治理和涉企风险防控能力；三是推动公共数据资源化、资产化利用，释放数据要素价值，支撑北京数据要素市场建设和数字经济发展。四是帮助金融机构及相关从业公司降低信息获取成本和信贷风险，提高审贷效率，预计单户授信审批时间缩短50%以上；五是帮助中小企业降低融资综合成本，提高融资对接效率；,1. “企信通”企业信用评价产品：API数据接口 + SaaS服务平台 + 标准化信用报告（PDF）。基于企业社保公积金缴纳稳定性（反映用工规模和经营持续性）、纳税记录（反映经营收入和纳税遵从度）、投融资历史（反映资本市场认可度和股权结构）、行政处罚记录（反映合规经营水平）等维度，运用机器学习算法构建信用评分模型，输出企业信用等级（AAA至C）和量化评分，并生成可解释的信用评价报告，供金融机构信贷审批参考。 2. “企融达”融资撮合服务平台：Web端服务平台 + 移动端小程序。企业端可一键授权查询自身信用画像并提交融资需求；金融机构端可获取经企业授权的信用评价结果，批量筛选符合条件的客户并在线受理；平台基于信用评分和产品要素进行智能匹配与推荐，缩短融资链条，降低融资成本。 3. “企警达”风险监测预警产品：API数据接口 + 可视化监测大屏 + 预警信息推送。对入库企业设置社保断缴、公积金停缴、欠税、新增行政处罚、异常股权变更等预警规则，实时推送风险提示，支持金融机构和监管部门按区域、行业、风险等级进行多维统计分析和趋势研判。,2026-08-18 14:31:26,2026-08-19 02:01:00,2026-08-18 17:23:55,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
10,SETTLED_PROJECT,创新服务-入驻项目,161,440,661,北京福慧智能科技有限公司,“京智养”养老数据合规流通与交易服务一体化智能服务平台项目,本项目聚焦养老领域数据合规流通、交易服务一体化核心痛点，立足依法合规、安全可控的核心原则，依托政企协作模式引入专业运营服务力量，搭建线上线下一体化的“京智养”养老综合服务智能体。通过数字化、智能化手段重构养老服务流程，落地八大类核心养老服务场景，构建养老数据合规归集、安全流通、高效交易、精准服务的全链条体系。实现养老服务“智能问答、边问边办、即申即办”的数字化服务新模式，破解老年人数字鸿沟、养老服务供需错配、行业数据壁垒、服务监管薄弱等行业难题。同时赋能居家、机构、旅居、医养等多元养老业态，提升养老服务精细化、标准化、智能化水平，打造区域养老数据合规应用与智慧养老服务标杆样板。,（一）平台载体成果 建成功能完善、安全合规的“京智养”养老综合服务线上智能体平台，打通线上服务端口与线下养老服务网点，实现八大核心养老服务场景全覆盖、全线上化、流程闭环化。平台具备智能咨询、自助办理、数据互通、交易结算、智能监管、预警提醒等一体化功能，支持老年人、家属、养老机构、监管部门、运营服务商多方主体协同使用。 （二）数据体系成果 建立标准化、合规化的养老数据治理与流通机制，搭建安全可控的养老数据资源池，规范老年人健康数据、服务数据、机构运营数据、补贴数据等涉老数据的归集、脱敏、共享、流通、交易流程。形成可复制、可推广的养老数据合规流通与交易服务标准体系，破除跨部门、跨业态、跨区域养老数据壁垒，实现医养、康养、养老服务数据互联互通。 （三）服务场景成果 全面落地八大类标准化智慧养老服务场景，实现场景服务常态化、规范化、智能化运行： - 智慧助餐场景：实现养老餐线上点餐、精准送餐、线上支付结算、电子发票自动开具全流程线上办理，打通老年助餐便民服务闭环。 - 健康管理场景：搭建标准化电子健康档案体系，实现老年人慢病智能管控、在线问诊、健康数据实时监测、风险异常自动预警，筑牢老年健康保障防线。 - 机构养老场景：实现养老机构智能查询、床位精准匹配推荐、VR实景看房、线上签约入驻、机构信息监管公示等智能化服务，提升机构养老服务透明度与便捷度。 - 居家照护场景：标准化居家上门照护服务流程，实现专人定制照护、服务全程溯源监督、紧急帮扶快速响应，保障居家养老服务质量与安全。 - 适老化服务场景：提供居家适老化改造智能评估、定制化改造方案、养老辅具租赁、补贴线上申报、设备售后维保一体化服务，适配老年居家生活需求。 - 医养结合场景：打通医疗机构与养老服务数据互通渠道，搭建就医绿色通道，落地家庭医生签约、双向转诊、康复护理联动服务，实现医养康养深度融合。 - 旅居养老场景：实现跨区域养老基地查询、智能推荐、线上预订、旅居养老健康保障、跨区域服务互通，满足多元化养老旅居需求。 - 机构赋能场景：搭建养老机构资源对接平台，实现订单智能匹配、各类养老补贴线上申报、从业人员专业培训、机构安全智能管理、人员动态监管，全面赋能养老机构规范化运营。,2026-08-17 18:57:39,2026-08-21 02:01:00,2026-08-20 16:16:04,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SETTLED_PROJECT
