序号,接口表名,数据类别,id,biz_unique_id,product_name,product_intro,detail_desc,detail_desc_plain,industry,field,use_limit_desc,use_limit_desc_plain,product_keywords,data_update_frequency,product_example,data_url,del_status,create_time,update_time,valid_status,visit_count,favorited,来源接口
1,HIGH_QUALITY_DATASET,数字资源-高质量数据集,364,PD2023112716091839,投资风险综合态势,整合投资领域企业的数据和相关信息，帮助投资者了解融资企业经营情况、降低投资风险。,<p>投资决策：投资风险综合态势数据产品可以提供有关监管机构、媒体信息以及公告的相关信息，帮助投资者评估投资标的的可持续性、潜在风险和回报。投资者可以通过对数据进行分析和比较，做出更明智的投资决策。</p>,投资决策：投资风险综合态势数据产品可以提供有关监管机构、媒体信息以及公告的相关信息，帮助投资者评估投资标的的可持续性、潜在风险和回报。投资者可以通过对数据进行分析和比较，做出更明智的投资决策。,金融业,未知领域,<p>使用用途限制：仅限于在金融行业使用；</p><p>使用范围限制：仅限于在国内地区使用；</p><p>禁止用途：禁止未经授权售卖给第三方。</p>,使用用途限制：仅限于在金融行业使用；使用范围限制：仅限于在国内地区使用；禁止用途：禁止未经授权售卖给第三方。,"金融,风控,风控",未知,url_hash|【监管数据】监管唯一ID|varchar|【监管数据】监管唯一ID|0; url|【监管数据】原文url连接|varchar|【监管数据】原文url连接|1; title|【监管数据】监管标题|varchar|【监管数据】监管标题|2; publishtime|【监管数据】监管发布时间|TIMESTAMP|【监管数据】监管发布时间|3; site_name|【监管数据】网站名称|varchar|【监管数据】网站名称|4; source|【监管数据】新闻来源|varchar|【监管数据】新闻来源|5; url_hash|【媒体数据】新闻id|varchar|【媒体数据】新闻id|6; url|【媒体数据】网址|varchar|【媒体数据】网址|7; title|【媒体数据】标题|varchar|【媒体数据】标题|8; content|【媒体数据】正文|varchar|【媒体数据】正文|9; publishtime|【媒体数据】发布时间|TIMESTAMP|【媒体数据】发布时间|10; site_name|【媒体数据】网站名称|varchar|【媒体数据】网站名称|11; author|【媒体数据】作者|varchar|【媒体数据】作者|12,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_746,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
2,HIGH_QUALITY_DATASET,数字资源-高质量数据集,363,PD2023112716136870,区域产业链数据集,提供全国各省27类产业的产业链图谱，产业链榜单、产业链政策、产业招投标信息、产业园区信息以及查看企业具体工商信息等全景多维度图谱数据信息。,<p>（1）拓客指引：利用产业链、供应链、园区信息等数据，从产业链获客、供应链获客、产业园获客、周边获客等各种维度，为对公业务各分支机构管理人员、公司客户经理、机构客户经理、零售客户经理提供基于地理信息的拓客线索。</p><p>（2）商机线索：利用企业图谱、资质、融资、企业新闻、专利、诉讼等数据，丰富企业画像信息，帮助业务人员即时追踪目标企业的商机事件和风险动态。</p><p>（3）行业监测：利用产业新闻、产业政策等数据，助力银行了解行业特征及当前发展现状，为银行的行业授信政策、产品规划以及营销策略提供数据分析的辅助支撑。</p>,（1）拓客指引：利用产业链、供应链、园区信息等数据，从产业链获客、供应链获客、产业园获客、周边获客等各种维度，为对公业务各分支机构管理人员、公司客户经理、机构客户经理、零售客户经理提供基于地理信息的拓客线索。（2）商机线索：利用企业图谱、资质、融资、企业新闻、专利、诉讼等数据，丰富企业画像信息，帮助业务人员即时追踪目标企业的商机事件和风险动态。（3）行业监测：利用产业新闻、产业政策等数据，助力银行了解行业特征及当前发展现状，为银行的行业授信政策、产品规划以及营销策略提供数据分析的辅助支撑。,金融业,未知领域,<p>使用用途限制：仅限于在金融行业使用；</p><p>使用范围限制：仅限于在国内地区使用；</p><p>禁止用途：禁止未经授权售卖给第三方。</p>,使用用途限制：仅限于在金融行业使用；使用范围限制：仅限于在国内地区使用；禁止用途：禁止未经授权售卖给第三方。,"金融,风控,风控",未知,ersCompanyChainUUid|【区域产业链主表】唯一标识|varchar|【区域产业链主表】唯一标识|0; ersCompanyChainCompanyCid|【区域产业链主表】公司cid|bigint|【区域产业链主表】公司cid|1; ersCompanyChainCreditCode|【区域产业链主表】社会统一信用代码|varchar|【区域产业链主表】社会统一信用代码|2; ersCompanyChainCompanyName|【区域产业链主表】公司名称|varchar|【区域产业链主表】公司名称|3; ersCompanyChainChainsCode|【区域产业链主表】产业链编号|bigint|【区域产业链主表】产业链编号|4; ersCompanyChainChainsName|【区域产业链主表】产业链名称|varchar|【区域产业链主表】产业链名称|5; ersCompanyChainGoodsCode|【区域产业链主表】商品(服务)编号|bigint|【区域产业链主表】商品(服务)编号|6; ersCompanyChainGoodsName|【区域产业链主表】商品(服务)名称|varchar|【区域产业链主表】商品(服务)名称|7; ersCompanyChainGoodLocation|【区,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_747,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
3,HIGH_QUALITY_DATASET,数字资源-高质量数据集,362,PD2023112716182607,企业全景画像数据,为金融机构提供企业画像及有效信息。,<p>企业调查和尽职调查：在金融机构与企业进行合作或投资前，进行全面的企业调查和尽职调查是必要的。企业全景数据可以提供企业的相关数据、企业实力数据、企业经营等信息，帮助金融机构了解潜在合作伙伴或投资对象的真实情况，减少风险。</p><p>资产组合管理：金融机构可以利用企业全景数据来进行资产组合管理。通过分析各个企业的风险收益特征、相关性等数据，金融机构可以优化资产配置、降低投资组合的整体风险，并实现更好的回报。</p>,企业调查和尽职调查：在金融机构与企业进行合作或投资前，进行全面的企业调查和尽职调查是必要的。企业全景数据可以提供企业的相关数据、企业实力数据、企业经营等信息，帮助金融机构了解潜在合作伙伴或投资对象的真实情况，减少风险。资产组合管理：金融机构可以利用企业全景数据来进行资产组合管理。通过分析各个企业的风险收益特征、相关性等数据，金融机构可以优化资产配置、降低投资组合的整体风险，并实现更好的回报。,金融业,未知领域,<p>使用用途限制：仅限于在金融行业使用；</p><p>使用范围限制：仅限于在国内地区使用；</p><p>禁止用途：禁止未经授权售卖给第三方。</p>,使用用途限制：仅限于在金融行业使用；使用范围限制：仅限于在国内地区使用；禁止用途：禁止未经授权售卖给第三方。,"金融,风控,风控",未知,corporateName|企业名称|varchar|企业名称|0; enterpriseEnglishName|企业英文名|varchar|企业英文名|1; corporateAlias|企业简称|text|企业简称|2; legalPerson|法人|varchar|法人|3; legalPersonType|法人类型|int|法人类型；1 人 2 公司|4; registNum|注册号|varchar|注册号|5; companyType|公司类型|varchar|公司类型|6; registAds|企业注册地址|varchar|企业注册地址|7; dateOfEstablishment|成立时间|datetime|成立时间|8; startTime|营业期限开始日期|datetime|营业期限开始日期|9; finishTime|营业期限终止日期|datetime|营业期限终止日期|10; businessScope|经营范围|varchar|经营范围|11; registInstitute|企业注册登记机关|varchar|企业注册登记机关|12; approvedTime|核准日期|datetime|核准日期|13; businessStatus|经营状态|varchar|经营状态|14; registCapital|注册资金|int|注册资金|15; regCapitalCurrency|注册资本币种|varchar|注册资本币种|16; actualCapitalCurrency|实收注册资本币种|varc,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_748,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
4,HIGH_QUALITY_DATASET,数字资源-高质量数据集,361,PD2023121314545122,2021年4季度招标信息,2021年4季度招标信息,"<p><span style=""color: black; font-family: 宋体;"">2021年4季度招标信息</span></p>",2021年4季度招标信息,信息传输、软件和信息技术服务业,互联网/IT/电子/通信,,,"招标,招标",未知,bid_number|招标编号|varchar||0; title|标题|varchar||1; publish_date|发布日期|date||2; province_id|省市县|char||3; product_name|产品名称|text||4; budget_price|招标预算|decimal||5; owner_company|业主单位|varchar||6; owner_address|业主单位地址|varchar||7; agent_company|代理单位|varchar||8; agent_address|代理单位地址|varchar||9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_846,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
5,HIGH_QUALITY_DATASET,数字资源-高质量数据集,360,PD2023121315047125,2022年1季度招标信息,2022年1季度招标信息,<p>通过标讯信息服务，投标人可以及时获取标讯信息，了解标讯项目的详细情况，以便更好地准备项目文件和参与招投标活动。同时，标讯信息服务也有助于标讯代理机构更好地宣传和推广自己的项目，吸引更多的项目干系人参与竞争，促进市场公平竞争。</p>,通过标讯信息服务，投标人可以及时获取标讯信息，了解标讯项目的详细情况，以便更好地准备项目文件和参与招投标活动。同时，标讯信息服务也有助于标讯代理机构更好地宣传和推广自己的项目，吸引更多的项目干系人参与竞争，促进市场公平竞争。,信息传输、软件和信息技术服务业,互联网/IT/电子/通信,,,"标讯,标讯",未知,bid_number|招标编号|varchar|1|0; title|标题|varchar||1; publish_date|发布日期|date||2; province_id|省市县|char||3; product_name|产品名称|text||4; budget_price|招标预算|decimal||5; owner_company|业主单位|varchar||6; owner_address|业主单位地址|varchar||7; agent_company|代理单位|varchar||8; agent_address|代理单位地址|varchar||9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_847,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
6,HIGH_QUALITY_DATASET,数字资源-高质量数据集,359,PD2023121513232882,织机设备转速数据,通过加装织机设备数据采集器，实施获取设备数据，包括纺织机械设备运转效率:机号、转速、开机时间、停机时间等。通过报表中心，实时感知车间生产动态。,<p>纺织机械设备运转效率：机号、转速、开机时间、停机时间</p>,纺织机械设备运转效率：机号、转速、开机时间、停机时间,制造业,未知领域,,,"纺织行业,纺织行业",未知,ID|ID|INT|0; loomID|机号|INT|1; averageLoomSpeed|车速|INT|2; loomRuntimeTheShift|开机时间|INT|3; loomStoptimeTheshift|停机时间|INT|4,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_855,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
7,HIGH_QUALITY_DATASET,数字资源-高质量数据集,358,PD2023121513557235,产业链,产业链提供产业结构梳理、产业研判分析、产业结构优化三大应用场景,"<p style=""text-align: left;""><span style=""font-family: 仿宋;"">实现通过对产业上中下游链点的设置自动构建产业链，依托企业、人才、产品等基础库支撑和系统数据计算能力，完成社会外部数据和业务数据梳理工作，形成产业链整套标准图谱。通过研判分析定位产业优势、卡脖子环节。在产业研判分析结果的科学指导下，明确地区产业结构优化、招商引资等具体工作方向。产业链供应链是工业经济的命脉，产业链供应链稳定畅通对工业经济平稳运行至关重要。作为产业链稳定畅通的信息化支撑，产业链专题解决方案包含产业结构梳理、产业研判分析、产业结构优化三大应用场景。为产业链梳理、监测工作提供功能和数据支撑。</span></p>",实现通过对产业上中下游链点的设置自动构建产业链，依托企业、人才、产品等基础库支撑和系统数据计算能力，完成社会外部数据和业务数据梳理工作，形成产业链整套标准图谱。通过研判分析定位产业优势、卡脖子环节。在产业研判分析结果的科学指导下，明确地区产业结构优化、招商引资等具体工作方向。产业链供应链是工业经济的命脉，产业链供应链稳定畅通对工业经济平稳运行至关重要。作为产业链稳定畅通的信息化支撑，产业链专题解决方案包含产业结构梳理、产业研判分析、产业结构优化三大应用场景。为产业链梳理、监测工作提供功能和数据支撑。,制造业,未知领域,,,"产业图谱,产业图谱",未知,id|id|VARCHAR|0; groupId|分组id|VARCHAR|1; parentId|父节点id|VARCHAR|2; code|代码|VARCHAR|3; name|名称|VARCHAR|4; comment|备注|VARCHAR|5; sort|排序|INT|6; createUserId|创建者|VARCHAR|7; leaf|leaf|INT|8; dengji|等级|INT|9; leixing|基础、上、中、下、配套、其他|VARCHAR|10; superiorLinkId|上级链路id|VARCHAR|11; viewId|产业绘制Id|VARCHAR|12,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_856,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
8,HIGH_QUALITY_DATASET,数字资源-高质量数据集,357,PD2023121522437144,政企互联网舆情数据集,集合可公开采集的多渠道政企互联网舆情数据，可满足舆情信息搜索、数据统计、话题分类、情感分析等多方面分析需求。,<p>集合可公开采集的多渠道政企互联网舆情数据，可满足舆情信息搜索、数据统计、话题分类、情感分析等多方面分析需求。</p><p><br></p>,集合可公开采集的多渠道政企互联网舆情数据，可满足舆情信息搜索、数据统计、话题分类、情感分析等多方面分析需求。,信息传输、软件和信息技术服务业,未知领域,<p>仅限买方内部使用，不得以任何形式提供给其他单位或个人使用。</p>,仅限买方内部使用，不得以任何形式提供给其他单位或个人使用。,"数据集,舆情数据,舆情,数据集,舆情数据,舆情",未知,summary|摘要|VARCHAR|文章摘要|0; title|标题|VARCHAR|文章标题|1; content|全文|TEXT|正文内容|2; url|原文链接|VARCHAR|原文链接|3; author|作者|VARCHAR|发布作者|4; mediatype|媒体类型|INT|媒体类型，包括网媒、论坛、微博、微信等|5; publishTime|发布时间|DATE|发布时间|6,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_889,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
9,HIGH_QUALITY_DATASET,数字资源-高质量数据集,356,PD2023122011355303,全国施工企业年度中标百强名单数据集,提供全国施工企业年度数量前100名的企业。,<p>提供全国施工企业年度数量前100名的企业，也可以按照房建工程、市政工程、水利工程等分项目类型输出。</p>,提供全国施工企业年度数量前100名的企业，也可以按照房建工程、市政工程、水利工程等分项目类型输出。,信息传输、软件和信息技术服务业,未知领域,,,"施工企业、中标百强,施工企业、中标百强",未知,"rank|排名|VARCHAR|排名|0; company_name|企业名称|VARCHAR|企业名称
|1",https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_960,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
10,HIGH_QUALITY_DATASET,数字资源-高质量数据集,355,PD2023122011402745,全国各类型建筑资质企业名单,提供全国各类型资质的企业名单，还可以根据企业性质是否为央国企组合输出。,<p>提供全国各类型资质的企业名单，如施工总承包特级/一级/二级/三级资质名单、专业承包资质名单、工程咨询企业名单等，还可以根据企业性质输出央企、国企或民企。</p>,提供全国各类型资质的企业名单，如施工总承包特级/一级/二级/三级资质名单、专业承包资质名单、工程咨询企业名单等，还可以根据企业性质输出央企、国企或民企。,信息传输、软件和信息技术服务业,未知领域,,,"建筑企业、施工企业、全景画,建筑企业、施工企业、全景画",未知,"cert_name|标准资质全称|VARCHAR|标准资质全称|0; category|资质类型|VARCHAR|资质类型|1; type|资质大类|VARCHAR|资质大类
|2; majors|资质小类|VARCHAR|资质小类|3; profession|资质专业|VARCHAR|资质专业
|4; level|资质等级|VARCHAR|资质等级
|5; company_name|企业名称|VARCHAR|企业名称
|6",https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_961,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
