序号,接口表名,数据类别,id,biz_unique_id,scene_name,scene_open_dept,scene_batch,scene_summary,scene_status,scene_innovation_demand,scene_type,contact_user,phone,email,create_time,update_time,data_time,del_status,scene_range,favorited,来源接口
1,SCENE_DEMAND,创新服务-场景需求,191,1582,“两客一危一重”跨区域联合监管场景,通州区政务服务和数据管理局,通州区八月场景发布,1.围绕“两客一危一重”车辆跨区域联合监管业务需求，通过卫星定位监测、异常智能预警、跨区域信息同步、数据融合分析等技术，融合危险货物运输信息、营运车辆卫星定位数据、人车户基础信息、高速公路通行数据、省界公路交通情况调查统计数据，通过全口径运行状态实时监测、异常情况智能预警、违规行为跨区域溯源与信息同步方式，实现 “两客一危一重” 车辆跨区域全行程动态监管常态化。 2.利用跨区域营运OD空间分布研判，将监管从“被动执法”转向“主动预判、精准布控”，提升执法靶向性与打击效率。,“两客一危一重”车辆跨区域运营时，属地无法实现全行程动态监管，只掌握属地备案车辆运营数据，违规行为跨区域溯源难、横传处置慢。,实现“两客一危”运行状态实施监测、异常情况智能预警及违规行为跨区域溯源。通过融合卫星定位、危险品运单、高速通行及省界交通量等多源数据，打破数据壁垒，将监管视线延伸为“全行程无感续流”；创新性引入跨区域营运OD空间研判，将执法模式从“被动响应、随机撒网”升级为基于时空精准画像的“主动预判、靶向布控”，并辅以违规行为的跨域溯源与双向信息同步机制，最终实现静态许可底数在动态监管中“活化”利用，构建起覆盖“车籍地—途经地—目的地”全链条的常态化、预测式治理新范式。,3,于梁,010-69518123,ghjsk@bjtzh.gov.cn,2026-08-14 02:01:00,2026-08-14 02:01:00,2026-08-13 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
2,SCENE_DEMAND,创新服务-场景需求,190,1583,出租网约跨区域联合监管场景,通州区政务服务和数据管理局,通州区八月场景发布,1.围绕出租网约车跨区域联合监管业务需求，通过卫星定位监测、OD路径分析等技术，融合出租车、网约车定位与订单数据、人车户基础信息、客运班车及公交运行指标数据，通过研判跨区域营运OD分布、强化三地非法营运联合监管方式，实现规范行业运营秩序、提升监管质效目的，并为公交规划与线路优化提供科学数据支撑。 2.在强化非法营运联合监管、规范运营秩序的同时，反向支撑跨区域公交规划、线路优化与接驳服务，实现“监管提质”与“公共交通优化”双向赋能，为跨区域客运线路定制、特色公交规划、公共交通衔接、出行接驳换乘服务等提供科学数据支撑；加强全域黑车、出租车、网约车非法营运联合监管力度，规范行业运营秩序，提升跨域监管质效。,跨区域黑车、非法运营网约车及出租车隐蔽性高、违法成本低、调查查处难，扰乱属地客运市场运行秩序。,通过卫星定位与OD路径分析融合多源数据，将网约车与出租车纳入统一监测体系，依托跨区域营运OD空间分布研判，实现从“被动接诉”向“主动溯源、精准打击非法营运”的转变，强化了三地协同联合监管力度。,3,于梁,010-69518123,ghjsk@bjtzh.gov.cn,2026-08-14 02:01:00,2026-08-14 02:01:00,2026-08-13 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
3,SCENE_DEMAND,创新服务-场景需求,189,1584,国省干线事件协同处置场景,通州区政务服务和数据管理局,通州区八月场景发布,围绕国省干线跨区域协同管控业务需求，通过数据互通共享、拥堵风险研判、应急协同处置等技术，融合高速路况、交通事件、ETC 通行及省界交通调查数据，通过全域运行态势监测、重要节点疏堵保畅、跨区域应急联动与交通诱导方式，实现掌握全域交通运行状态、提升突发事件协同处置与跨域交通诱导能力的效果。,三地高速公路干线流量监测、施工、事故等信息同步滞后，管控不同步，跨区域疏堵和诱导协同联动不充分，极易引发漏斗式拥堵叠加，降低通行效率。,通过融合高速路况、ETC及省界交通调查等多源数据，构建跨区域“全域感知—联合研判—协同诱导”的一体化管控体系。变传统的“单点疏导”为跨域路径级动态分流，实现拥堵风险的提前预判与跨省应急联动，将被动应对转为跨区域主动防控与路网协同调度，全面提升省际干线保畅能力和跨域协同治理效能。,3,于梁,010-69518123,ghjsk@bjtzh.gov.cn,2026-08-14 02:01:00,2026-08-14 02:01:00,2026-08-13 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
4,SCENE_DEMAND,创新服务-场景需求,188,1551,旅游团队行程智能监测与执法辅助场景,北京市文化市场综合执法总队,2026北京市智慧城市场景创新需求清单（第五批）,围绕旅游团队非现场监管和辅助执法业务需求，基于国产AI大模型，打造旅游信息主体台账、旅游团队核查和非现场检查功能模块，实现团队核查、团队车辆协同监管等功能扩展，支撑执法人员开展现场检查、非现场检查和辅助取证，提升旅游市场监管覆盖面、精准度和处置效率。,一、背景情况 随着旅游市场持续发展，违法违规行为更加复杂隐蔽，现场检查和非现场监管中难以及时掌握团队、车辆、人员、行程等动态信息，执法核查和取证难度加大，亟需依托国产化平台和信创运行环境，构建智能监测与执法辅助大模型，提升旅游市场监管智能化水平。 二、拟解决问题 1.旅游行业基础信息互通不足。团队、车辆、人员、行程等数据分散在不同系统，难以统一归集和动态掌握。 2.检查核实工作动态衔接不畅。团队实际运行轨迹、车辆停靠、行程偏离等信息难以及时比对分析，影响风险识别和执法研判。 3.现场检查与非现场检查效率有待提高。问题线索发现、任务派发、现场核查、证据留存和处置反馈衔接不够顺畅，影响监管闭环效能。,1.构建动态监管数据底座。围绕旅行团队监测核心业务场景，牵引文旅、交通数据融通应用，将旅游团队电子行程单、文旅行业台账、旅游客运车辆轨迹三类核心数据打通，构建动态监管“数据底座”，推动治理模式的跨领域一体化升级。 2.构建基于大模型的旅游团队智能监测能力。针对交通车辆数据复杂性强、时效性高、随机性大的特点，构建数据智能监测模型，对团队计划行程与车辆实际轨迹进行多源异构分析，动态识别行程偏差；对车辆行驶、停车等状态开展模型化研判，精准识别车辆行为、定位关键节点，标注重点关注行程点位。 3.构建轨迹监测语义化分析能力。全面接入国产AI大模型，对车辆行驶轨迹监测进行动态分析和语义化呈现，形成对车辆的行程分析、行驶轨迹呈现、团队行程统计、重点团队监测等可视化辅助功能。 ,3,菅茂生,18519302910,jianmaosheng@whsczfzd.beijing.gov.cn,2026-08-05 02:01:00,2026-08-05 02:01:00,2026-08-04 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
5,SCENE_DEMAND,创新服务-场景需求,187,1574,基于数据互联和政企协同的养老综合服务场景,北京市民政局,2026北京市智慧城市场景创新需求清单（第五批）,聚焦养老数据合规流通、交易服务一体化的需求，打造线上线下一体的全流程养老综合服务线上智能体“京智养”，探索在依法合规、安全可控前提下，通过政企协作引入专业力量参与运营服务，实现“智能问题”“边问边办”，帮助老年人跨越数字鸿沟。 主要包括8类服务场景： 1.智慧助餐：线上点餐、送餐、支付结算、开具电子发票； 2.健康管理：电子健康档案、慢病管控、在线问诊、健康监测、异常预警； 3.机构养老：机构查询、床位智能推荐、VR看房、线上签约、监管公示； 4.居家照护：居家上门服务、专人照护、服务监督、紧急帮扶； 5.适老化服务：居家改造评估、定制改造、辅具租赁、补贴申报、售后维保； 6.医养结合：医疗机构数据互通、就医绿色通道、家庭医生、双向转诊、康复护理； 7.旅居养老：养老基地查询推荐、线上预订、跨区域养老互通、健康保障； 8.机构赋能：订单资源对接、补贴申报、人才培训、安全管理、人员监管。,一、背景情况 2023年，面向老年人和家属的养老服务网正式上线，集中提供养老机构、助餐点等官方信息查询功能，为养老服务供需对接搭建了基础窗口。随着首都养老服务便民需求与数字监管要求深化，现有平台在服务全链条闭环、数据共享利用等方面仍存在明显短板，制约了服务体验的进一步提升。 二、拟解决的问题 1.线上服务尚未闭环。现有平台仅提供信息服务，缺乏在线选餐、配送、结算及电子票据等一体化服务能力。 2.养老领域数据未充分释放。全市海量养老领域数据未充分社会化利用，数据惠民价值未释放。 3.当前运营模式与平台交易服务需求不匹配。受运营主体资质制约，无金融支付牌照，难以开展在线支付等功能，服务深度无法拓展，资源投入绩效不佳。,1.构建公共服务与市场运营双轨并行的运维模式。科学引入专业力量参与运营服务，分层解耦政务服务功能与市场化服务功能，形成权责清晰、边界明确的双轨协同格局，助力平台可持续运营。 2.依托可信数据空间构建养老数据政企流通机制。落实“原始数据不出域、可用不可见”原则，打通政务数据合规开放与社会机构运营数据有序回流链路；同时搭建基于回流数据的动态监管看板，实现全市养老服务动态监测、精准研判。 3.以AI智能体打造适老化极简操作体验。实现主动匹配服务需求、语音导办、一站式办事，降低老年人操作门槛；打破地域阻隔，实现养老服务“全程线上办”。,3,孟斯雨,13521760707,mengsiyu@mzj.beijing.gov.cn,2026-08-05 02:01:00,2026-08-05 02:01:00,2026-08-04 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
6,SCENE_DEMAND,创新服务-场景需求,186,1575,“京智社管”智能体场景构建,北京市民政局,2026北京市智慧城市场景创新需求清单（第五批）,聚焦社会组织年检审核、风险监测与信用监管的效率提升，运用大模型与多源数据融合技术，构建“京智社管”智能体，集成年检智能审核、多源风险信息感知、信用风险分析等功能，提升登记管理机关监管效能和服务水平，为首都社会组织规范化建设提供智能化能力支撑。,一、背景情况 市民政局依托“智慧民政”一期工程，已建成综合业务监管、信用信息归集等系统平台，有效提升了登记管理机关监管能力。随着中央和北京市对综合监管体制、信用体系、风险监管等提出更高要求，现有系统在大数据和智能化应用方面仍有拓展空间。 二、拟解决问题 1.信息获取渠道有限。登记、年检、信用、风险等数据分散，难以全面、及时掌握社会组织动态。 2.高频业务智能化应用较弱。年检审核工具的智能化程度制约了监管覆盖面。 3.事前事中监管手段不足。现有系统以事后处置为主，主动预警能力亟待提升。,1.以大模型驱动年检“填报—审核—分析”全链智能化。实现年检材料自动预填、实时校验、动态提示风险；同步支持审核环节智能比对，一键生成社会组织跨年度发展报告。 2.构建社会组织运行态势多源感知能力。汇聚多源公开信息，智能识别与社会组织相关的异常经营行为与风险线索，提前研判并分级预警，将风险发现从接报响应提前至主动扫描。 3.打造社会组织全生命周期“数字体征”，以数据融合驱动精准决策。整合登记、年检、信用、执法等核心数据，构建社会组织运行画像与信用评价模型，支撑管理大脑中枢建设，实现全局统揽、精准服务、高效决策。,3,田山,010-55521993,tianshan@mzj.beijing.gov.cn,2026-08-05 02:01:00,2026-08-05 02:01:00,2026-08-04 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
7,SCENE_DEMAND,创新服务-场景需求,185,1576,基于民政养老监管数据的养老金融数字信用评价体系建设,北京市民政局,2026北京市智慧城市场景创新需求清单（第五批）,围绕养老金融领域信用评价供给实际需要，融合养老机构服务监管数据，构建养老机构数字信用评价体系与全生命周期数字画像，推动监管数据从行业管理向金融服务、政策支持等领域延伸，为养老金融产品创新提供信用依据，促进公共数据价值释放和养老服务高质量发展。,一、背景情况 国家金融监督管理总局北京监管局、北京市民政局等5部门已联合印发《关于促进北京市养老金融高质量发展的指导意见》，要求加大金融机构对养老服务体系建设的资金支持。北京市“数据要素×”实施方案明确将培育养老金融服务模式列为重点方向。围绕养老机构非营利属性与评价模型结构，当前，民政部门已积累养老机构备案、等级评定、信用评价、运营监管等数据，但这些监管成果主要服务于行业管理，向金融服务等领域的延伸应用仍处于起步阶段。 二、拟解决的问题 1.传统授信模式难以满足养老机构日益增长的融资需求。金融机构缺乏反映养老机构真实经营能力、持续运营能力数据支撑，难以准确评估授信风险，制约养老金融产品创新与养老服务主体融资可获得性。 2.监管数据跨领域应用不足。养老机构星级评定、信用评级、风险评级等监管成果主要停留于行业管理层面，数据价值未向金融服务、政策支持等领域有效释放。,1.构建养老机构数字信用评价体系。融合民政监管数据与多源公共数据，建立养老机构数字画像与信用评价模型，形成统一、客观、动态的数字信用评价体系。 2.创新公共数据赋能养老金融模式。以养老机构信用评价结果强化金融机构授信决策数据支撑，支持养老金融产品创新，推动公共数据向信用价值、金融价值和产业价值转化。 3.推动民政监管成果跨领域共享应用。推动现有养老机构等监管成果多场景拓展，实现“一次评价、多元应用”，打通监管数据向信用价值转化链路。,3,孟斯雨,13521760707,mengsiyu@mzj.beijing.gov.cn,2026-08-05 02:01:00,2026-08-05 02:01:00,2026-08-04 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
8,SCENE_DEMAND,创新服务-场景需求,184,1552,医疗器械产品规范命名与审评辅助大模型场景,北京市药品监督管理局,2026北京市智慧城市场景创新需求清单（第四批）,围绕医疗器械产品命名规范管理、企业合规申报和辅助审核需求，全面整合相关法规与标准文件、历史注册证名称、分类及审评规则等数据源，依托通用大模型底座和专属知识库，构建医疗器械产品命名大模型，实现命名规则统一归集、智能辅助规范命名和合规性辅助审核，规范企业申报行为，降低行业合规成本，探索智能审评体系建设实践路径。,"一．背景情况
当前医疗器械产品命名是产品准入、分类界定、注册申报及后续监管的核心统领要素。当前，命名规则复杂，企业容易因命名不规范，导致注册及临床等资料反复修改、注册周期拉长，注册成本增加等问题，亟需提升源头申报质量、统一审评尺度，建设智慧审评体系建设。
二、拟解决的问题
1.解决医疗器械产品命名相关法规、标准、指导原则和历史注册信息分散，规则查询、结构化管理和智能检索支撑不足的问题。
2.解决企业在产品立项和注册申报前缺少辅助命名、相似名称参考和合规风险提示，导致命名不规范的问题。
3.解决合规研判主要依赖人工查阅，审核效率不高的问题。
","1.首创医疗器械命名专用大模型。采用通用大模型底座+外挂专属知识库的轻量化技术路线，打造国内首个医疗器械产品命名专用大模型，并与品类划分评审模型形成互补，为智慧审评体系建设提供全新的模块化、组件化建设思路。
2.构建医疗器械命名规则数据集。将各级医疗器械产品命名法规、指导原则与历史注册证名称进行系统性归集，形成标准化命名规则数据集，为模型持续迭代优化提供数据支撑。",2,桑凌岳,18010288850,sanglingyue@yjj.beijing.gov.cn,2026-07-04 02:01:00,2026-07-04 02:01:00,2026-07-03 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
9,SCENE_DEMAND,创新服务-场景需求,183,1556,面向城市治理场景的多源视频时空信息融合与智能分析创新（视频时空多源数据融合智能分析场景）,北京市大数据中心,2026北京市智慧城市场景创新需求清单（第四批）,围绕数字孪生城市治理，整合视频监控、地理地图、物联感知、政务业务四类数据，依托多源接入、时空融合、跨模态分析、地图联动可视化技术，统一数据语义标准。实现事件自动识别、目标全域定位、轨迹回溯、孪生地图联动研判，构建事前预警、事中处置、事后复盘一体化能力，提升多部门协同治理效率。,"一、背景情况
智慧城市海量视频、时空、物联数据爆发增长，但各系统独立建设形成数据烟囱，跨平台语义不互通，部门协同效率低；现有平台仅支持单一视频识别，缺少时空联动分析能力，项目定制化程度高、复用性差，治理效果无统一量化评测标准。
二、拟解决的问题
一是多源系统数据割裂，接入繁琐、无法协同；二是数据语义不统一，跨模态关联分析难度大；三是仅单点视频分析，缺失轨迹、空间联动实战能力；四是算法泛化弱、定制开发成本高；五是缺少统一治理效果量化评测体系。","1.视频与时空地理一体化融合算法，实现画面与孪生地图毫秒联动；统一跨模态语义对齐规范破除数据壁垒；通用自适应视觉模型降低场景定制开发量。
2.打通视频、物联、地图、政务数据孤岛，全域数据统一调度复用；从单一识别升级多维联合研判；建立行业统一智能治理效果量化评估标准。",1,李娜,010-55529760,lin@jxj.beijing.gov.cn,2026-07-04 02:01:00,2026-07-04 02:01:00,2026-07-03 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
10,SCENE_DEMAND,创新服务-场景需求,182,1557,医疗敏感病历数据安全联合科研应用场景,北京数字认证股份有限公司,2026北京市智慧城市场景创新需求清单（第四批）,针对跨院病历联合科研需求，采用旁路部署、数据库透明加密、隐私计算、动态脱敏、全链路审计技术，融合多院诊疗隐私数据。原始数据不出院域，以 “可用不可见” 模式完成联合建模病理研究，无需改造医院存量系统，对内自动分级管控敏感数据、全程审计溯源，对外依托隐私计算交互模型参数，一站式实现医疗隐私数据安全共享与合规科研利用。,"一、背景情况
医疗临床数据是疾病研究核心资源，单院样本不足以支撑高精度科研，跨院协同需求迫切。但医疗数据受法规严格保护，传统集中共享泄露风险高；传统加密方案需改造老旧异构系统，改造成本、风险双高。行业面临科研需求、数据合规、系统改造三重矛盾，急需搭建数据本地留存、安全协同的数据治理体系。
二、拟解决的问题
一是传统加密需改造底层代码，医院异构系统改造周期长、成本高；二是安全工具零散，缺少统一合规管控手段；三是数据库明文存储数据，内部人员可直接访问，泄露风险高；四是数据分级依靠人工，加密策略分散无统一标准。","1. 旁路无感透明加密适配全量异构医院系统，零业务代码改造规避升级风险；打通隐私计算与数据库审计能力，存储、访问、跨域协同全流程可追溯，补齐医疗跨机构科研审计短板。
2.搭建医疗专属规则库自动识别分级病历数据，替代人工甄别；支持密文直接开展科研建模，全程不暴露原始明文，兼顾数据安全防护与科研分析效率。
3.摒弃集中汇聚式数据共享，构建数据本地留存、算力跨域协同、监管全程可视的新模式，实现医院自主管控、多方协同科研、监管统一审计三方安全闭环。",1,陈青民,13370111856,chenqingmin@bjca.org.cn,2026-07-04 02:01:00,2026-07-04 02:01:00,2026-07-03 00:00:00,0,1,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SCENE_DEMAND
