序号,接口表名,数据类别,id,biz_unique_id,app_group_id,app_group_name,top_group_code,achievement_code,achievement_provider,achievement_desc,achievement_type,apply_industry,served_scene,online_time,create_time,update_time,del_status,favorited,来源接口
1,DATA_INNOVATION,创新成果-数据创新成果,536,722,32,API产品,DATA,企业严重违法核查,贵州数据宝网络科技有限公司,本产品核查企业严重违法失信记录。严重违法涉及危害公共安全、破坏市场秩序等行为，在保险核保中通常是一票否决的硬指标。,API产品,"F,J,L,M,S",,2026-08-14 16:08:27,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
2,DATA_INNOVATION,创新成果-数据创新成果,537,721,32,API产品,DATA,企业行政许可核查,贵州数据宝网络科技有限公司,本产品核查企业持有的各类行政许可信息。特殊行业保险（如危化品、建筑、医疗等）中，相关行政许可的持有和有效性是投保的前置条件。,API产品,"F,J,L,M,S",,2026-08-14 16:06:24,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
3,DATA_INNOVATION,创新成果-数据创新成果,538,720,32,API产品,DATA,企业行政处罚核查,贵州数据宝网络科技有限公司,本产品核查企业受到的行政处罚记录详情。在企业保险续保评估中，新增行政处罚是风险恶化的预警信号，需引起核保关注并更新风险评估。,API产品,"F,J,L,M,S",,2026-08-14 16:03:43,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
4,DATA_INNOVATION,创新成果-数据创新成果,539,719,32,API产品,DATA,企业商标信息核查,贵州数据宝网络科技有限公司,本产品核查企业注册的商标信息，包括商标名称、注册号、类别、专用权期限和当前法律状态。在品牌价值保险和知识产权保险中，商标组合的市场价值和法律保护状况是核心的保险标的评估维度，影响保额确定和费率厘定。,API产品,"F,J,M,L,S",,2026-08-14 16:01:42,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
5,DATA_INNOVATION,创新成果-数据创新成果,540,718,32,API产品,DATA,企业著作权软著核查,贵州数据宝网络科技有限公司,本产品核查企业持有的软件著作权信息（登记号、软件名称、著作权人等）。在科技企业保险中，软著组合是评估企业技术资产价值的重要依据，软件著作权数量和质量直接反映企业的技术创新能力和核心竞争力，为知识产权保险保额确定提供参考。,API产品,"F,L,J,M,S",,2026-08-14 15:58:23,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
6,DATA_INNOVATION,创新成果-数据创新成果,541,717,32,API产品,DATA,企业备案网站核查,贵州数据宝网络科技有限公司,本产品核查企业备案的官方网站信息。在互联网保险平台的企业客户准入中，通过备案网站交叉验证企业的线上经营真实性。,API产品,"F,J,M,L,S",,2026-08-14 15:55:22,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
7,DATA_INNOVATION,创新成果-数据创新成果,542,716,32,API产品,DATA,企业开庭公告核查,贵州数据宝网络科技有限公司,本产品核查企业涉及的开庭公告信息，追踪诉讼进展。在保险理赔阶段，开庭公告信息可帮助企业客户预判诉讼走向和潜在赔付。,API产品,"F,J,L,M,S",,2026-08-14 15:53:33,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
8,DATA_INNOVATION,创新成果-数据创新成果,543,715,32,API产品,DATA,企业立案信息核查,贵州数据宝网络科技有限公司,本产品核查企业涉及的法院立案信息。在董责险和诉讼保险中，企业作为被告的立案数量和金额影响保费定价和承保决策。,API产品,"F,J,L,M,S",,2026-08-14 15:51:16,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
9,DATA_INNOVATION,创新成果-数据创新成果,544,714,32,API产品,DATA,企业一般纳税人核查,贵州数据宝网络科技有限公司,本产品核查企业是否为增值税一般纳税人。在企业财产险和团险中，一般纳税人资格是企业正规经营规模的体现，有助于判断企业规模和合规水平。,API产品,"F,J,L,M,S",,2026-08-14 15:17:51,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
10,DATA_INNOVATION,创新成果-数据创新成果,545,713,32,API产品,DATA,企业进出口信用核查,贵州数据宝网络科技有限公司,本产品核查企业在海关的进出口信用等级。在出口信用保险和货物运输险中，海关信用等级直接影响承保风险判断，高信用企业可享受更好的费率条件。,API产品,"F,J,L,M,S",,2026-08-14 15:14:35,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
