序号,接口表名,数据类别,id,biz_unique_id,data_code,data_name,dept_name,service_type,is_shared,is_open,sample_data_json,sample_data_keyword,data_url,create_time,update_time,data_time,del_status,valid_status,visit_count,domain_name,domain_type,organation_name,data_subject,favorited,来源接口
1,GOV_DATA,数字资源-政府侧数据,10534,CH-AH-AM-AC,CH-AH-AM-AC,药品批准信息（归集中）,北京市药品监督管理局,DATA,无条件共享,是,"[{""药品批准文号"":""国药准字H202163602"",""药品有效期"":""2027-01-23"",""注册分类"":""中药品种"",""剂型"":""丸剂"",""药品通用名称"":""氯雷他定片"",""药品持有人名称"":""北京医保全新大药房有限责任公司""},{""药品批准文号"":""国药准字H202113239"",""药品有效期"":""2026-01-03"",""注册分类"":""中药品种"",""剂型"":""颗粒剂"",""药品通用名称"":""氯雷他定片"",""药品持有人名称"":""北京金象大药房医药连锁有限责任公司""}]",国药准字H202163602。药品有效期。中药品种。丸剂。氯雷他定片。北京医保全新大药房有限责任公司；国药准字H202113239。药品有效期。中药品种。颗粒剂。氯雷他定片。北京金象大药房医药连锁有限责任公司,http://data.beijing.gov.cn/zyml/ajg/sypjdglj/5884409951b242d29c8c96414ca8a75e.htm,2026-06-05 23:59:59,2026-09-02 18:35:28,2024-02-08 11:39:47,0,0,233,医疗卫生,社会民生类,科技与标准处（信息化处）,其他类数据资源,false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
2,GOV_DATA,数字资源-政府侧数据,10496,CH-AH-AS-AB,CH-AH-AS-AB,放射性药品使用许可信息（数据清洗）,北京市药品监督管理局,DATA,无条件共享,是,"[{""变更次数"":""4"",""有效期至"":""2027-04-15"",""发证日期"":""2022-04-05"",""发证机关"":""北京市海淀区市场监督管理局"",""医疗机构类别"":""专科医院"",""科室名称"":""北京科园信海医药经营有限公司"",""许可证类别"":""化学药品"",""科室负责人"":""黄建平"",""科室地址"":""北京市丰台区花乡高立庄616号"",""法定代表人"":""林国强"",""注册地址"":""北京市丰台区花乡高立庄616号"",""医疗机构名称"":""北京科园信海医药经营有限公司"",""许可证号"":""京AA0100006"",""更新时间"":""2025-07-29 21:17:49"",""记录唯一标识"":""103617"",""法定代表人联系电话"":""010-69156688"",""统一社会信用代码"":""91110105710903028T"",""投诉举报电话"":""010-69156688"",""日常监管机构"":""1"",""企业社会信用代码"":""91110105710903028T"",""签发人"":""赵明"",""数据交换位"":""接口同步"",""时间戳"":""2025-10-17 13:51:00"",""实例标识"":""103622"",""业务类型"":""补证"",""操作状态"":""I"",""公示标识"":""Y"",""打印标识"":""1"",""许可证状态"":""无效"",""同步标识"":""1"",""同步操作类型"":""1"",""同步数据来源"":""数据导入"",""同步批次版本号"":""1"",""同步批次号"":""1""},{""变更次数"":""5"",""有效期至"":""2028-04-06"",""发证日期"":""2022-01-23"",""发证机关"":""北京市海淀区市场监督管理局"",""医疗机构类别"":""中医医院"",""科室名称"":""唐晓峰"",""许可证类别"":""化学药品"",""科室负责人"":""何志远"",""科室地址"":""北京市大兴区亦庄经济技术开发区科创十一街18号"",""法定代表人"":""谢丽娟"",""注册地址"":""北京市大兴区亦庄经济技术开发区科创十一街18号"",""医疗机构名称"":""北京双鹤药业经营有限公司"",""许可证号"":""京AA0100007"",""更新时间"":""2025-06-10 16:50:20"",""记录唯一标识"":""103637"",""法定代表人联系电话"":""010-85731199"",""统一社会信用代码"":""91110105MA004L5H2X"",""投诉举报电话"":""010-85731199"",""日常监管机构"":""2"",""企业社会信用代码"":""91110105MA004L5H2X"",""签发人"":""钱华"",""数据交换位"":""接口同步"",""时间戳"":""2025-04-29 01:53:53"",""实例标识"":""103642"",""业务类型"":""核发"",""操作状态"":""I"",""公示标识"":""N"",""打印标识"":""1"",""许可证状态"":""过期"",""同步标识"":""1"",""同步操作类型"":""1"",""同步数据来源"":""数据导入"",""同步批次版本号"":""1"",""同步批次号"":""1""}]",变更次数。有效期至。发证日期。北京市海淀区市场监督管理局。专科医院。北京科园信海医药经营有限公司。化学药品。黄建平。北京市丰台区花乡高立庄616号。林国强。北京市丰台区花乡高立庄616号。北京科园信海医药经营有限公司。京AA0100006。更新时间。记录唯一标识。010-69156688。91110105710903028T。010-69156688。日常监管机构。91110105710903028T。赵明。接口同步。时间戳。实例标识。补证。I。Y。打印标识。无效。同步标识。同步操作类型。数据导入。同步批次版本号。同步批次号；变更次数。有效期至。发证日期。北京市海淀区市场监督管理局。中医医院。唐晓峰。化学药品。何志远。北京市大兴区亦庄经济技术开发区科创十一街18号。谢丽娟。北京市大兴区亦庄经济技术开发区科创十一街18号。北京双鹤药业经营有限公司。京AA0100007。更新时间。记录唯一标识。010-85731199。91110105MA004L5H2X。010-85731199。日常监管机构。91110105MA004L5H2X。钱华。接口同步。时间戳。实例标识。核发。I。N。打印标识。过期。同步标识。同步操作类型。数据导入。同步批次版本号。同步批次号,http://data.beijing.gov.cn/zyml/ajg/sypjdglj/cdb17411f4374cab91a1ad87c1c77b42.htm,2026-06-05 23:59:59,2026-09-02 01:10:35,2017-01-01 00:00:00,0,0,138,医疗卫生,社会民生类,科技与标准处（信息化处）,"法人类数据资源,政策文件类数据资源",false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
3,GOV_DATA,数字资源-政府侧数据,10494,CH-AH-AS-AD,CH-AH-AS-AD,医疗器械网络交易服务第三方平台备案信息（数据清洗）,北京市药品监督管理局,DATA,无条件共享,是,"[{""1"":""1"",""注销原因"":""管理原因"",""注销日期"":""2025-01-12"",""状态"":""正常"",""备案日期"":""2023-08-15"",""联系人电子邮箱"":""co*@.com.cn"",""联系人传真"":""010-84356677"",""联系人证件号"":""110109********258X"",""联系人证件类型"":""居民身份证"",""联系人电话"":""010-84356677"",""联系人姓名"":""黄**"",""医疗器械质量安全管理人证件号码"":""吴丽萍"",""备案部门"":""北京市朝阳区市场监督管理局"",""医疗器械质量安全管理人证件类型"":""吴丽萍"",""医疗器械质量安全管理人电话"":""吴丽萍"",""电信业务经营许可证"":""京B2-20214491"",""非经营性互联网信息服务备案编号"":""京药监备字2021第9612号"",""服务器存放地址"":""北京市昌平区回龙观西大街龙域中心A座12层"",""网站IP地址"":""112.64.78.91"",""网站域名"":""www..com.cn"",""客户端应用名称"":""用药助手 APP"",""网站名称"":""北京乐普医疗器械官网"",""主要负责人证件号码"":""110105********419X"",""主要负责人身份证件类型"":""居民身份证"",""质量安全负责人"":""吴丽萍"",""主要负责人"":""赵德明"",""法定代表人证件号码"":""110109********635X"",""法定代表人身份证件类型"":""居民身份证"",""法定代表人联系电话"":""010-84356677"",""法定代表人"":""赵德明"",""互联网药品信息服务资格证书编号"":""BH202223571"",""社会信用代码"":""91110105600002458C"",""同步标识"":""1"",""同步操作类型"":""1"",""同步数据来源"":""接口同步"",""同步批次版本号"":""1"",""同步批次号"":""1"",""更新时间"":""2024-08-24 15:43:34"",""记录唯一标识"":""103555"",""打印标识"":""0"",""合格；0不合格。"":""合格"",""实例标识"":""103560"",""时间戳"":""2024-08-26 18:52:45"",""数据交换位"":""系统录入"",""医疗器械网络交易第三方平台备案凭证编号"":""BH202118067"",""办公场所"":""北京市朝阳区望京西路50号"",""住所"":""1"",""企业名称"":""北京乐普医疗器械股份有限公司"",""备案号"":""京药监备字2020第8934号""},{""1"":""2"",""注销原因"":""质量原因"",""注销日期"":""2023-09-01"",""状态"":""有效"",""备案日期"":""2021-03-30"",""联系人电子邮箱"":""co*@.com.cn"",""联系人传真"":""010-82837788"",""联系人证件号"":""110105********249X"",""联系人证件类型"":""居民身份证"",""联系人电话"":""010-82837788"",""联系人姓名"":""何**"",""医疗器械质量安全管理人证件号码"":""黄建平"",""备案部门"":""北京市药品监督管理局医疗器械监督管理处"",""医疗器械质量安全管理人证件类型"":""黄建平"",""医疗器械质量安全管理人电话"":""黄建平"",""电信业务经营许可证"":""京B2-20237995"",""非经营性互联网信息服务备案编号"":""京药监备字2022第6770号"",""服务器存放地址"":""北京市昌平区回龙观西大街龙域中心A座12层"",""网站IP地址"":""101.226.4.12"",""网站域名"":""www..com.cn"",""客户端应用名称"":""药师帮 APP"",""网站名称"":""北京纳通医疗技术官网"",""主要负责人证件号码"":""110114********832X"",""主要负责人身份证件类型"":""居民身份证"",""质量安全负责人"":""黄建平"",""主要负责人"":""马晓东"",""法定代表人证件号码"":""110106********650X"",""法定代表人身份证件类型"":""居民身份证"",""法定代表人联系电话"":""010-82837788"",""法定代表人"":""马晓东"",""互联网药品信息服务资格证书编号"":""BH202096072"",""社会信用代码"":""91110108792100003D"",""同步标识"":""1"",""同步操作类型"":""1"",""同步数据来源"":""系统录入"",""同步批次版本号"":""1"",""同步批次号"":""1"",""更新时间"":""2025-12-18 20:56:06"",""记录唯一标识"":""103583"",""打印标识"":""0"",""合格；0不合格。"":""不合格"",""实例标识"":""103588"",""时间戳"":""2025-06-07 03:25:44"",""数据交换位"":""系统录入"",""医疗器械网络交易第三方平台备案凭证编号"":""BH202147507"",""办公场所"":""北京市海淀区北四环西路9号"",""住所"":""2"",""企业名称"":""北京纳通医疗技术有限公司"",""备案号"":""京药监备字2020第6149号""}]",1。管理原因。注销日期。正常。备案日期。contact@.com.cn。010-84356677。11010919750207258X。居民身份证。010-84356677。黄建平。吴丽萍。北京市朝阳区市场监督管理局。吴丽萍。吴丽萍。京B2-20214491。京药监备字2021第9612号。北京市昌平区回龙观西大街龙域中心A座12层。112.64.78.91。www..com.cn。用药助手 APP。北京乐普医疗器械官网。11010519660812419X。居民身份证。吴丽萍。赵德明。11010919730820635X。居民身份证。010-84356677。赵德明。BH202223571。91110105600002458C。同步标识。同步操作类型。接口同步。同步批次版本号。同步批次号。更新时间。记录唯一标识。打印标识。合格。实例标识。时间戳。系统录入。BH202118067。北京市朝阳区望京西路50号。住所。北京乐普医疗器械股份有限公司。京药监备字2020第8934号；1。质量原因。注销日期。有效。备案日期。contact@.com.cn。010-82837788。11010519870103249X。居民身份证。010-82837788。何志远。黄建平。北京市药品监督管理局医疗器械监督管理处。黄建平。黄建平。京B2-20237995。京药监备字2022第6770号。北京市昌平区回龙观西大街龙域中心A座12层。101.226.4.12。www..com.cn。药师帮 APP。北京纳通医疗技术官网。11011419650907832X。居民身份证。黄建平。马晓东。11010619830325650X。居民身份证。010-82837788。马晓东。BH202096072。社会信用代码。同步标识。同步操作类型。系统录入。同步批次版本号。同步批次号。更新时间。记录唯一标识。打印标识。不合格。实例标识。时间戳。系统录入。BH202147507。北京市海淀区北四环西路9号。住所。北京纳通医疗技术有限公司。京药监备字2020第6149号,http://data.beijing.gov.cn/zyml/ajg/sypjdglj/cfa553d6a7d545268d8fe529e5b944cf.htm,2026-06-05 23:59:59,2026-09-02 10:14:32,2018-01-01 00:00:00,0,0,116,医疗卫生,社会民生类,科技与标准处（信息化处）,"个人类数据资源,法人类数据资源",false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
4,GOV_DATA,数字资源-政府侧数据,10487,CH-AF-AG-AA,CH-AF-AG-AA,药品广告备案信息,北京市药品监督管理局,DATA,无条件共享,是,"[{""广告批准文号"":""国药准字H201758551"",""通用名称"":""阿奇霉素分散片"",""批准日期"":""2024-03-16"",""有效期至等"":""2028-12-12""},{""广告批准文号"":""国药准字H201592222"",""通用名称"":""布洛芬缓释胶囊"",""批准日期"":""2023-04-26"",""有效期至等"":""2028-11-15""}]",国药准字H201758551。阿奇霉素分散片。批准日期。有效期至等；国药准字H201592222。布洛芬缓释胶囊。批准日期。有效期至等,http://data.beijing.gov.cn/zyml/ajg/sypjdglj/7feb73af60f34b0e9ee6cd280a08917e.htm,2026-06-05 23:59:59,2026-09-02 21:30:53,2014-10-01 00:00:00,0,0,88,医疗卫生,社会民生类,药械流通监督管理处（医药物资储备管理处）,其他类数据资源,false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
5,GOV_DATA,数字资源-政府侧数据,10483,CH-AH-AM-AH,CH-AH-AM-AH,医疗器械品种基本信息（归集中）,北京市药品监督管理局,DATA,无条件共享,是,"[{""产品适用范围"":""供临床输液治疗使用"",""产品结构及组成"":""产品由主机、探头、显示器组成"",""产品类别"":""化妆品"",""规格型号"":""YS-100A"",""产品中文名称"":""张文斌"",""发证机关"":""北京市朝阳区市场监督管理局"",""批准有效期"":""2027-07-18"",""批准日期"":""2019-06-27"",""注册号"":""京械网备 20260051""},{""产品适用范围"":""供医疗机构使用"",""产品结构及组成"":""产品由不锈钢支架、聚乙烯床板组成"",""产品类别"":""化妆品"",""规格型号"":""KM-200B"",""产品中文名称"":""王芳"",""发证机关"":""北京市海淀区市场监督管理局"",""批准有效期"":""2026-02-12"",""批准日期"":""2022-08-27"",""注册号"":""京药网备 20260052""}]",供临床输液治疗使用。产品由主机、探头、显示器组成。化妆品。YS-100A。张文斌。北京市朝阳区市场监督管理局。批准有效期。批准日期。京械网备 20260051；供医疗机构使用。产品由不锈钢支架、聚乙烯床板组成。化妆品。KM-200B。王芳。北京市海淀区市场监督管理局。批准有效期。批准日期。京药网备 20260052,http://data.beijing.gov.cn/zyml/ajg/sypjdglj/b6bd388955744715b9529d75e75d8de6.htm,2026-06-05 23:59:59,2026-09-02 18:00:56,2024-02-08 11:38:45,0,0,62,医疗卫生,社会民生类,科技与标准处（信息化处）,其他类数据资源,false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
6,GOV_DATA,数字资源-政府侧数据,10453,CH-AH-AL-AB,CH-AH-AL-AB,北京市药店信息,北京市药品监督管理局,DATA,无条件共享,是,"[{""执业药师照片"":""[附件]"",""执业药师证件号"":""110112********215X"",""执业药师姓名"":""杨*"",""是否24小时营业"":""是"",""是否为医保药店"":""是"",""药店图片"":""[附件]"",""对外公众咨询电话"":""010-68094455"",""营业时间"":""08:00-22:00"",""药品经营许可证图片"":""[附件]"",""位置（经纬度）"":""116.329384,39.86792"",""统一社会信用代码"":""91110112MA01KXXXX8T"",""药店名称"":""北京京海大药房有限责任公司通州店""},{""执业药师照片"":""[附件]"",""执业药师证件号"":""110101********829X"",""执业药师姓名"":""吴*"",""是否24小时营业"":""是"",""是否为医保药店"":""否"",""药店图片"":""[附件]"",""对外公众咨询电话"":""010-69825511"",""营业时间"":""08:00-22:00"",""药品经营许可证图片"":""[附件]"",""位置（经纬度）"":""116.32963,39.777054"",""统一社会信用代码"":""91110115MA01MXXXX9U"",""药店名称"":""北京好药师大药房连锁有限公司大兴店""}]","[附件]。11011219701217215X。杨磊。是。是。[附件]。010-68094455。08:00-22:00。[附件]。116.329384,39.86792。91110112MA01KXXXX8T。北京京海大药房有限责任公司通州店；[附件]。11010119760819829X。吴涛。是。否。[附件]。010-69825511。08:00-22:00。[附件]。116.32963,39.777054。91110115MA01MXXXX9U。北京好药师大药房连锁有限公司大兴店",http://data.beijing.gov.cn/zyml/ajg/sypjdglj/7c17f0c97fa948af882c6a97e54bee13.htm,2026-06-05 23:59:59,2026-09-02 09:07:27,2024-03-09 18:02:44,0,0,110,医疗卫生,社会民生类,科技与标准处（信息化处）,"个人类数据资源,法人类数据资源,区域类数据资源",false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
7,GOV_DATA,数字资源-政府侧数据,10433,CH-AC-AC-AA,CH-AC-AC-AA,放射性药品使用许可证信息,北京市药品监督管理局,DATA,无条件共享,是,"[{""法定代表人"":""许国平"",""科室地址"":""北京市东城区东单三条5号"",""统一社会信用代码"":""91110105MA004L5H2X"",""许可证号"":""京AA0100007"",""医疗机构名称"":""北京双鹤药业经营有限公司"",""注册地址"":""北京市东城区东单三条5号"",""科室负责人"":""彭志强"",""发证日期"":""2024-11-08"",""许可证类别及科室名称"":""食品生产许可证、保健食品生产许可、化妆品生产许可证、直销经营许可证"",""医疗机构类别"":""社区卫生服务中心"",""发证机关"":""北京市海淀区市场监督管理局"",""有效期至等"":""2026-12-19""},{""法定代表人"":""蒋明辉"",""科室地址"":""北京市西城区西直门南大街2号"",""统一社会信用代码"":""91110106MA00BNXR5J"",""许可证号"":""京AA0100008"",""医疗机构名称"":""北京丰科城医药有限公司"",""注册地址"":""北京市西城区西直门南大街2号"",""科室负责人"":""蔡国庆"",""发证日期"":""2020-02-05"",""许可证类别及科室名称"":""药品经营许可证、第三类医疗器械经营许可证、食品经营许可证、互联网药品信息服务资格证"",""医疗机构类别"":""社区卫生服务中心"",""发证机关"":""北京市药品监督管理局医疗器械监督管理处"",""有效期至等"":""2026-01-23""}]",许国平。北京市东城区东单三条5号。91110105MA004L5H2X。京AA0100007。北京双鹤药业经营有限公司。北京市东城区东单三条5号。彭志强。发证日期。食品生产许可证、保健食品生产许可、化妆品生产许可证、直销经营许可证。社区卫生服务中心。北京市海淀区市场监督管理局。有效期至等；蒋明辉。北京市西城区西直门南大街2号。91110106MA00BNXR5J。京AA0100008。北京丰科城医药有限公司。北京市西城区西直门南大街2号。蔡国庆。发证日期。药品经营许可证、第三类医疗器械经营许可证、食品经营许可证、互联网药品信息服务资格证。社区卫生服务中心。北京市药品监督管理局医疗器械监督管理处。有效期至等,http://data.beijing.gov.cn/zyml/ajg/sypjdglj/a0af0bd23df94fb39999877cf184d2fb.htm,2026-06-05 23:59:59,2026-09-02 17:59:05,2015-11-01 00:00:00,0,0,79,医疗卫生,社会民生类,药品生产监督管理处,法人类数据资源,false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
8,GOV_DATA,数字资源-政府侧数据,11122,BJ-AD-AG-AA,BJ-AD-AG-AA,本市金融控股公司基本信息,中共北京市委金融委员会办公室,DATA,无条件共享,否,"[{""统一社会信用代码"":""91110102MA0123456X"",""机构名称"":""北京金融控股集团有限公司""},{""统一社会信用代码"":""91110105MA0654321X"",""机构名称"":""北京国有资本经营管理中心""}]",91110102MA0123456X。北京金融控股集团有限公司；91110105MA0654321X。北京国有资本经营管理中心,,2026-06-05 18:33:50,2026-09-02 08:25:06,2019-01-01 00:00:00,0,0,107,机构团体,政务核心类,银行保险处（金融机构服务处）,法人类数据资源,false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
9,GOV_DATA,数字资源-政府侧数据,11121,BJ-AD-BE-AA,BJ-AD-BE-AA,在京非银行金融机构基本信息,中共北京市委金融委员会办公室,DATA,无条件共享,否,"[{""机构名称"":""中国工商银行北京市分行"",""统一社会信用代码"":""91110102MA0123456X""},{""机构名称"":""花旗银行(中国)北京分行"",""统一社会信用代码"":""91110105MA0654321X""}]",中国工商银行北京市分行。91110102MA0123456X；花旗银行(中国)北京分行。91110105MA0654321X,,2026-06-05 18:33:50,2026-09-02 16:22:28,2021-01-01 00:00:00,0,0,22,机构团体,政务核心类,银行保险处（金融机构服务处）,法人类数据资源,false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
10,GOV_DATA,数字资源-政府侧数据,11120,BJ-AG-BA-AA,BJ-AG-BA-AA,检查抽查信息,中共北京市委金融委员会办公室,DATA,无条件共享,否,"[{""检查机关统一社会信用代码"":""91110102MA0123456X"",""检查机关"":""中共北京市委金融委员会办公室"",""抽查检查结果"":""未发现问题"",""日期"":""2022-03-15"",""统一社会信用代码"":""91110102MA0123456X"",""机构名称"":""中国工商银行北京市分行""},{""检查机关统一社会信用代码"":""91110105MA0654321X"",""检查机关"":""北京市地方金融监督管理局"",""抽查检查结果"":""发现问题已责令改正"",""日期"":""2025-09-22"",""统一社会信用代码"":""91110105MA0654321X"",""机构名称"":""大家保险集团有限责任公司""}]",91110102MA0123456X。中共北京市委金融委员会办公室。未发现问题。日期。91110102MA0123456X。中国工商银行北京市分行；91110105MA0654321X。北京市地方金融监督管理局。发现问题已责令改正。日期。91110105MA0654321X。大家保险集团有限责任公司,,2026-06-05 18:33:50,2026-08-18 14:21:54,2019-01-01 00:00:00,0,0,7,机构团体,政务核心类,地方金融机构监管一处,法人类数据资源,false,https://dibj.cn/portal/api/common/calling/page?tableCode=GOV_DATA
