页面URL,页面分类,页面标题,正文片段序号,正文片段总数,正文片段
https://dibj.cn/,首页,数智北京创新中心,1,1,数智北京创新中心 首页 创新服务 创新成果 数字资源 我要提供 我要申请 政策解读 关于我们 走进创新中心 登 录 请输入检索关键词 全部 查需求 查成果 查资源 查资讯 我要使用 我要提供 我要申请 云网算资源 组件资源 共性服务 8 数据资源 技术创新能力 97 提供数据 9 提供组件 9 提供场景 11 提供应用 4 提供服务 3 更多 预约参观 3 需求反馈 18 我要揭榜 133 加入伙伴 87 申请入驻 43 数据创新 数据资源目录 了解详情 加载中... 入驻项目 了解详情 加载中... 外部链接 网站关联的相关平台 场景培育 揭榜中 查看更多 对接中 查看更多 已完成 查看更多 应用超市 应用创新成果 查看更多 数智创新成果 查看更多 更多应用成果展示 新闻资讯 活动新闻 专家解读 | 筑牢数智底座 激活要素动能《关于推进行业高质量数据集建设行动的实施方案》解读 当前，人工智能正加速向经济社会各领域渗透，高质量数据集作为驱动人工智能模型迭代、落地“人工智能+”行动的“燃料”，其战略价值日益凸显。国家数据局印发的《关于推进行业高质量数据集建设行动的实施方案》（以下简称《方案》），系统提出了我国行业高质量数据集建设的总体要求、六大专项行动与保障措施，为各行业从“数据资源积累”走向“数据能力跃升”提供了清晰的制度框架与实践路径。 专家解读 | 筑基智能时代，释放数据价值 在人工智能大模型技术快速迭代，“人工智能＋”行动深入实施的背景下，高质量数据集已成为决定人工智能发展水平和产业落地深度的核心要素。随着大模型从语言理解走向复杂推理、具身交互和世界模拟，人工智能对数据的依赖从简单的规模驱动上升为质量主导、场景牵引和价值对齐。高质量数据集并非普通数据的简单汇集，而是经过深度加工、精准标注、系统治理，能够直接驱动模型训练、支撑场景应用的高密度知识载体。只有掌握高质量的数据供给能力，才能掌握智能时代的发展主动权。 2026-08-21 北京市数标委成功举办国家数据标准与测评体系宣贯会 为推动国家数据标准落地应用，充分发挥标准对北京“一区三中心”建设的基础支撑作用，2026年8月19日下午，由北京市政务服务和数据管理局指导，北京市数据标准化技术委员会主办的“国家数据标准与测评体系宣贯会”在数智北京创新中心成功召开。北京市大数据中心党委书记、主任张琳，中国电子技术标准化研究院副院长范科峰出席会议并致辞。北京市市场监督管理局标准化处副处长郭淑华出席会议。 2026-08-20 最高200万元奖励！2026年北京数智创新大赛数据赛诚邀您同台竞技 为深入贯彻落实国家关于数据要素开发利用的决策部署，深入实施《“数据要素×”三年行动计划（2024—2026年）》，服务首都数据工作“一区三中心”建设，有序推进数据要素市场化配置改革，在北京市人民政府指导下，北京市政务服务和数据管理局牵头举办2026年北京数智创新大赛，与2026年“数据要素×”大赛北京分赛同期举办、独立报名、独立评选、双轨并行。 2026-08-20 文字实录 | 2026上合组织数字经济论坛新闻发布会 8月18日上午，国家数据局举行2026上合组织数字经济论坛新闻发布会。国家数据局党组成员、副局长余英，新疆维吾尔自治区党委常委、自治区常务副主席张迎春，新疆生产建设兵团党委常委、副司令员万平出席发布会，并回答记者提问。国家数据局综合司司长、新闻发言人王旭东主持发布会。 2026-08-19 2026年“数据要素×”大赛北京分赛晋级决赛项目名单公示 2026年“数据要素×”大赛北京分赛已于8月14日完成初赛评审工作。北京分赛组委会根据专家评审打分结果及晋级比例，已确定晋级决赛的项目名单。19个赛道共计248个项目成功晋级决赛，现对晋级决赛的项目名单予以公示，欢迎社会各界积极参与监督。若对公示项目存有异议，请于2026年8月21日18:00前，向2026年“数据要素×”大赛北京分赛组委会秘书处进行实名反馈，反馈时请一并提交相关佐证材料，以便组委会核实查证。 2026-08-17 查看更多 关于召开2026年北京数智创新大赛数据赛线上技术答疑会的通知 为帮助2026年北京数智创新大赛数据赛参赛人员深入了解赛题内容和技术要求，做好准备工作，拟举办两场线上技术答疑会 2026-08-17 查看更多 人民日报 | 国家数据局印发指引 为数据出具“身份证明” 国家数据局不久前印发《数据产权登记工作指引（试行）》（以下简称《指引》），从登记机构管理、登记流程规范、登记凭证应用等方面作出系统部署，为全国数据产权登记工作提供了统一指导。国家数据局正稳步推进数据产权登记工作，加快全国一体化数据市场建设。 2026-08-14 查看更多 查看更多 活动预告 2026-06-16 2026数智北京场景创新需求发布暨第一届数智技术创新大赛 2026-04-15 “走进数智北京创新中心”之供需对接活动2026年第二场预通知 2026-01-22 “智领未来·政务先行”政务大模型应用管理创新论坛活动 2025-12-10 国企数据资源开发利用主题论坛 2025-11-23 2025北京城市副中心大模型技术与应用创新论坛 2025-11-22 2025北京市智慧城市场景创新发布暨数智北京创新中心生态共建系列活动 2025-10-20 2025年“数据要素×”大赛全国总决赛正式开赛 2025-09-18 国新办举行“介绍全国部分地区实施要素市场化配置综合改革试点有关情况”新闻发布会，国家数据局副局长出席并答记者问 2025-09-17 培育复合型数据人才——政务服务领域首席数据官高级研修班开班 2025-09-17 2025年全国数据系统局长培训班开班 2025-09-09 北京市公共数据分类分级标准研讨会成功举行 2025-09-05 国家数据局高质量数据集建设先行先试工作启动 入驻单位 数智赋能 创见未来 数智北京创新中心欢迎您! 入驻咨询 010-59703511 010-59703522 调查问卷 关注京通 网站标识码：1100000248 京ICP备2024042909号-5 所属权：北京市大数据中心 技术服务：北京数据集团 15611675008 X
https://dibj.cn/authui/interi?responseType=code&amp;clientId=CID_1740380618256&amp;redirectUri=https://dibj.cn/portal/oauth/capcloud/callback&amp;code_challenge=c8a4e9d7ecb7e989b8c4ec6596e57cda&amp;code_challenge_method=SM4,系统/登录,统一身份认证管理系统,1,1,统一身份认证管理系统 系统资源加载中 请稍候... 0%
https://dibj.cn/cxfuww,数字资源,创新服务 - 数智北京创新中心,1,1,创新服务 - 数智北京创新中心 创新服务 数据创新 场景培育 评测验证 生态孵化 展示推广 按照“先创新、再授权”的思路，企业在这里免费或低成本使用公共数据，在可信环境下进行数据融合开发。 数据融合创新 主要服务于创新主体开展数据创新。提供公共数据和社会数据安全融合渠道，构建可信数据开发环境，开展数据创新全链条服务，推动数据技术、数据模型、数据产品等全方面创新。 在线申请 数据竞赛服务 主要面向“数据要素×”大赛、北京大数据技能大赛等各类数据竞赛。结合数据竞赛组织要求，提供封闭的竞赛场地，做好数据安全可控管理，为竞赛营造安全的环境，保证竞赛有序、顺利开展。 了解更多 政府部门开放真实场景和项目需求，鼓励社会企业进行技术攻关，先“试验”后“实战”，快速验证，提高项目效率。 技术能力验证 主要服务于智慧城市和数据领域技术能力应用的验证，包括数字底座技术升级迭代、信创适配验证等。支持创新技术和设备、待选技术的测试、技术能力和技术架构的验证，为新技术应用推广提供参考。 申请验证 应用场景验证 主要服务于智慧城市场景创新，支持城市真实场景、真实数据下的创新技术研发、系统原型试验，验证解决方案的创新性、可落地性和可持续性，为智慧城市场景方案的测试、验证、改进和推广提供开放创新空间。 申请验证 支持投入使用前项目或产品，依托创新中心微缩部署的共性基础设施环境进行符合性、合规性和可用性等验证。 大模型测评 主要服务于各区各部门大模型能力提升和大模型的有效应用。依据大模型上线要求，协助知识库对接、知识中枢部署、前端应用部署，组织专家评测大模型准确度和模型风控情况，发现模型偏差，有针对性地对模型进行改进和优化，为政府部门基于大模型的政务服务提供依据。先期以政务服务领域大模型作为试点。 申请评测 感知算法测评 主要服务于全市感知算法的“统采共用”。依据选取标准，提供算法算力管理平台和算法解析平台，协助感知算法部署，由专业机构评测算法与感知平台的适配度和算法精准度，为感知算法选取提供依据。 申请评测 为初创企业提供创新孵化空间和政策环境，发挥科技创新的引擎作用，为副中心培育新质生产力注入强劲动能。 为创新主体提供集中展示空间，推动“一地创新、多地复用”，实现创新成果的快速推广和低成本使用。 展示推广 主要服务于各区各部门的创新成果展示和创新主体的能力展示。建立多种推广路径，包括线上展示、线下展览、线下活动组织等，同时提供多样展示方式，全方位呈现产品和服务，提高知名度，促进业务拓展与合作。 供需撮合 主要服务于各区各部门的创新需求发布和创新主体的需求响应。提供统一的需求发布渠道，建立需求响应机制，搭建起供需双方高效沟通的桥梁，精准满足个性化、差异化需求，提高需求与技术的匹配度，降低沟通成本，促进创新项目更高效地落地执行。 数字资源目录 云网算力目录 组件目录 数据目录(互联网) 物理服务器服务 服务类型： 计算服务 描 述： 提供标准规格的物理机 弹性云计算服务 服务类型： 计算服务 描 述： 提供标准规格的弹性云虚拟机 NAS文件存储 服务类型： 存储服务 描 述： 提供NAS存储能力，可在虚拟机上挂载NAS FC-SAN存储 服务类型： 存储服务 描 述： 提供对象存储能力，适合存储图片、视频、音频等归档类非结构化数据 对象存储服务 服务类型： 存储服务 描 述： 提供对象存储能力，适合存储图片、视频、音频等归档类非结构化数据 高性能分布式块存储 服务类型： 存储服务 描 述： 提供高性能分布式块存储能力 +更多 +更多 +更多 登录 后即可收藏该内容，方便下次快速查找。 我已知晓
https://dibj.cn/cxfuww/,数字资源,创新服务 - 数智北京创新中心,1,1,创新服务 - 数智北京创新中心 创新服务 数据创新 场景培育 评测验证 生态孵化 展示推广 按照“先创新、再授权”的思路，企业在这里免费或低成本使用公共数据，在可信环境下进行数据融合开发。 数据融合创新 主要服务于创新主体开展数据创新。提供公共数据和社会数据安全融合渠道，构建可信数据开发环境，开展数据创新全链条服务，推动数据技术、数据模型、数据产品等全方面创新。 在线申请 数据竞赛服务 主要面向“数据要素×”大赛、北京大数据技能大赛等各类数据竞赛。结合数据竞赛组织要求，提供封闭的竞赛场地，做好数据安全可控管理，为竞赛营造安全的环境，保证竞赛有序、顺利开展。 了解更多 政府部门开放真实场景和项目需求，鼓励社会企业进行技术攻关，先“试验”后“实战”，快速验证，提高项目效率。 技术能力验证 主要服务于智慧城市和数据领域技术能力应用的验证，包括数字底座技术升级迭代、信创适配验证等。支持创新技术和设备、待选技术的测试、技术能力和技术架构的验证，为新技术应用推广提供参考。 申请验证 应用场景验证 主要服务于智慧城市场景创新，支持城市真实场景、真实数据下的创新技术研发、系统原型试验，验证解决方案的创新性、可落地性和可持续性，为智慧城市场景方案的测试、验证、改进和推广提供开放创新空间。 申请验证 支持投入使用前项目或产品，依托创新中心微缩部署的共性基础设施环境进行符合性、合规性和可用性等验证。 大模型测评 主要服务于各区各部门大模型能力提升和大模型的有效应用。依据大模型上线要求，协助知识库对接、知识中枢部署、前端应用部署，组织专家评测大模型准确度和模型风控情况，发现模型偏差，有针对性地对模型进行改进和优化，为政府部门基于大模型的政务服务提供依据。先期以政务服务领域大模型作为试点。 申请评测 感知算法测评 主要服务于全市感知算法的“统采共用”。依据选取标准，提供算法算力管理平台和算法解析平台，协助感知算法部署，由专业机构评测算法与感知平台的适配度和算法精准度，为感知算法选取提供依据。 申请评测 为初创企业提供创新孵化空间和政策环境，发挥科技创新的引擎作用，为副中心培育新质生产力注入强劲动能。 为创新主体提供集中展示空间，推动“一地创新、多地复用”，实现创新成果的快速推广和低成本使用。 展示推广 主要服务于各区各部门的创新成果展示和创新主体的能力展示。建立多种推广路径，包括线上展示、线下展览、线下活动组织等，同时提供多样展示方式，全方位呈现产品和服务，提高知名度，促进业务拓展与合作。 供需撮合 主要服务于各区各部门的创新需求发布和创新主体的需求响应。提供统一的需求发布渠道，建立需求响应机制，搭建起供需双方高效沟通的桥梁，精准满足个性化、差异化需求，提高需求与技术的匹配度，降低沟通成本，促进创新项目更高效地落地执行。 数字资源目录 云网算力目录 组件目录 数据目录(互联网) 物理服务器服务 服务类型： 计算服务 描 述： 提供标准规格的物理机 弹性云计算服务 服务类型： 计算服务 描 述： 提供标准规格的弹性云虚拟机 NAS文件存储 服务类型： 存储服务 描 述： 提供NAS存储能力，可在虚拟机上挂载NAS FC-SAN存储 服务类型： 存储服务 描 述： 提供对象存储能力，适合存储图片、视频、音频等归档类非结构化数据 对象存储服务 服务类型： 存储服务 描 述： 提供对象存储能力，适合存储图片、视频、音频等归档类非结构化数据 高性能分布式块存储 服务类型： 存储服务 描 述： 提供高性能分布式块存储能力 +更多 +更多 +更多 登录 后即可收藏该内容，方便下次快速查找。 我已知晓
https://dibj.cn/cxfuww/szzyml,数字资源,数字资源目录 - 数智北京创新中心,1,1,数字资源目录 - 数智北京创新中心 数字资源目录 云网算力目录 组件目录 数据目录(互联网) +更多 +更多 +更多 登录 后即可收藏该内容，方便下次快速查找。 我已知晓
https://dibj.cn/cxfuww/szzyml/,数字资源,数字资源目录 - 数智北京创新中心,1,1,数字资源目录 - 数智北京创新中心 数字资源目录 云网算力目录 组件目录 数据目录(互联网) +更多 +更多 +更多 登录 后即可收藏该内容，方便下次快速查找。 我已知晓
https://dibj.cn/cxfuww/szzyml/sjml,数字资源,数据目录（互联网） - 数智北京创新中心,1,1,数据目录（互联网） - 数智北京创新中心 数据目录 数据目录 公共数据 领域名称 数据主体 部门 企业数据 专题数据 联合实验室数据 高质量数据集 联合实验室数据
https://dibj.cn/cxfuww/szzyml/sjml/,数字资源,数据目录（互联网） - 数智北京创新中心,1,1,数据目录（互联网） - 数智北京创新中心 数据目录 数据目录 公共数据 领域名称 数据主体 部门 企业数据 专题数据 联合实验室数据 高质量数据集 联合实验室数据
https://dibj.cn/cxfuww/szzyml/ywsl,数字资源,云网算力目录 - 数智北京创新中心,1,1,云网算力目录 - 数智北京创新中心 云网算力目录 云资源目录 资源获取说明 云网算资源需依托项目进行申请，请先用法人身份 登录个人中心 ，完成项目及团队创建后，再进行资源获取。 我已知晓
https://dibj.cn/cxfuww/szzyml/ywsl/,数字资源,云网算力目录 - 数智北京创新中心,1,1,云网算力目录 - 数智北京创新中心 云网算力目录 云资源目录 资源获取说明 云网算资源需依托项目进行申请，请先用法人身份 登录个人中心 ，完成项目及团队创建后，再进行资源获取。 我已知晓
